I.D. Number	Capture Year	Sex	Weight	Total Length	Shoulder Height	Zyg. Arch	Head Width	Betw. Ears	Skull Length	Ear Length	Forearm Circ.	Neck Circ.	Chest Circ.	Hindpad Lgt.	Hindpad Wdt.	Frontpad Lgt.	Frontpad Wdt.	Chest Blaze	Condition
200201	2002	female	110	139	83.5	27	15	14	30	12	28	49	72	11.5	8.5	5.5	9.5	no	fair
200202	2002	male	60	138.0	73.0	23.0	14.0	12.0	30.0	12.5	26.0	39.0	60.0	12.0	8.0	5.0	10.0	no	fair
200203	2002	female	90	139.0	73.0	27.0	15.0	13.0	31.5	13.0	27.0	43.0	68.0	12.5	8.0	5.5	9.0	no	poor
200204	2002	female	60	120.5	67.0	23.0	12.5	11.0	27.0	11.0	25.0	37.0	61.0	11.0	7.5	4.5	7.5	no	fair
200205	2002	female	85	149.0	75.0	25.0	15.5	13.5	31.0	12.5	28.0	43.5	72.0	12.5	8.5	5.5	10.5	no	fair
200206	2002	male	100	41.0	73.0	25.0	13.5	11.5	30.0	12.5	27.5	41.5	67.0	12.0	8.5	4.5	10.0	no	fair
200207	2002	female	95	141	74	25	15.5	13	30	12	29	41	71	11.5	8	5	9	no	good
200208	2002	female	85	150	81	25	14.5	11	29	11	27.5	42.5	70	10	7.5	3.5	8	yes	fair
200209	2002	male	155	166	92.5	31	18	16	32	12	33.5	56.5	82	15	10.5	6.5	11	no	good
200210	2002	female	.	129.5	68	25	14	12	28	11	24.5	36	63	10	7.5	8.5	4.5	no	fair
200211	2002	male	220	180.0	113.5	31.0	18.5	14.0	34.0	13.0	37.0	63.0	103.0	15.0	11.5	6.5	12.5	no	excellent
200212	2002	male	.	112.0	84.0	12.5	23.5	13.0	25.6	9.5	24.0	36.0	56.0	11.5	7.5	5.0	8.5	yes	good
200213	2002	male	.	173.0	90.0	21.0	.	17.0	33.0	13.0	39.0	71.0	110.0	15.5	12.0	7.5	13.0	no	excellent
200214	2002	male	105	129.5	74.0	26.0	14.0	11.0	30.0	11.5	26.0	45.5	71.5	13.0	8.5	4.5	9.5	no	good
200215	2002	male	110	150.0	76.0	31.0	14.0	14.0	33.0	14.0	30.0	45.0	74.0	16.0	9.0	10.0	11.0	no	excellent
200216	2002	female	115	142	75	21.5	15	13	29	12	29.5	43.5	72.5	12	8	5	9.5	no	good
200217	2002	male	155	142	85	24.5	15.5	.	31	11.5	30.5	51.5	83	15	8.5	6.5	10.5	no	good
200218	2002	female	.	147	82.5	25	15	15.5	30	11.5	30	52	78	11.5	8	6	10.5	no	good
200219	2002	male	255	162	96	35	18.5	21	33	14	35	68	107	17	19.5	6.5	12	yes	good
200220	2002	male	105	148	75	26	14	14.5	30.5	15	22	45	71.5	12.5	10	6	11	no	fair
200221	2002	male	90	140	76	29.5	14	10.5	30	12.5	24.5	47	67	13	7.5	5.5	9.5	no	fair
200222	2002	female	75	134.0	73.0	20.0	13.6	12.0	27.0	12.5	23.0	37.0	62.5	11.5	7.5	8.5	5.5	no	good
200223	2002	male	75	137.0	68.0	13.5	28.0	15.0	31.5	15.0	25.0	38.5	63.5	12.5	9.5	6.0	10.5	no	fair
200224	2002	male	115	149.0	82.0	27.0	14.5	13.5	32.0	13.0	26.0	554.0	80.0	12.5	10.5	5.5	9.5	no	good
200225	2002	male	35	102	49	18.5	9.5	8.5	24	13	16	29	50	9.5	7.5	4.5	7.5	no	good
200226	2002	female	140	151.5	82.5	26	16	12.5	30	11.5	29.5	49	84	11	9	5.5	9	no	good
200227	2002	female	155	161	93	30.5	16	13	33	12.5	27.5	58	95	11.5	9	5	10	no	excellent
200228	2002	female	120	145	73.5	22	.	15.5	29.5	11.5	29	44	76.5	12	9	5	10.5	no	good
200229	2002	male	220	173.0	90.0	31.0	16.5	15.0	35.0	14.0	34.5	62.5	101.0	15.5	11.0	6.5	12.5	no	good
200230	2002	female	110	160.0	82.0	27.5	16.0	14.5	30.0	12.5	29.5	46.5	78.0	12.5	9.5	6.0	11.0	no	poor
200231	2002	male	33	104.5	57.0	18.5	11.5	9.5	23.5	12.0	20.5	29.0	49.0	9.0	7.5	4.0	7.5	no	fair
200232	2002	female	90	139.5	75.0	21.0	14.0	12.5	28.5	13.0	26.0	41.5	67.0	10.5	7.5	10.0	5.5	no	good
200233	2002	male	.	162.5	96.5	29.5	18.5	17.0	34.5	12.5	39.0	70.5	108.5	14.0	10.0	7.0	12.0	no	good
200234	2002	male	90	138.0	73.0	27.0	14.5	14.0	29.0	11.5	20.0	41.0	67.0	12.0	9.0	5.0	9.0	no	poor
200235	2002	male	80	144.5	72.0	25.5	14.0	11.5	31.5	8.5	19.0	40.0	66.0	12.0	8.5	6.0	10.5	no	fair
200236	2002	female	115	150	76	27	15	14	30.5	11	24	46	81	11	8	11	5	no	good
200237	2002	male	180	164	89	33	16.5	16	33	9	25.5	57.5	90	12.5	9.5	6	11	no	good
200238	2002	female	75	130.5	70.5	22.5	13.5	12.5	28.5	12	27	44.5	67.5	10.5	8	5	8.5	no	fair
200239	2002	male	77	129.0	70.5	19.5	13.0	12.5	26.0	12.0	26.5	41.0	68.5	12.0	8.0	5.5	8.5	no	fair
200240	2002	male	120	158.0	77.0	28.0	14.5	14.0	30.0	12.0	24.0	50.0	85.0	11.0	8.5	5.0	10.0	no	good
