Number,id,missing data,citation1,citation2,citation3,country,country id,latitude,longitude,method,rdt type,month start,year start,month end,year end,lower age,upper age,pf pos,examined,PR,Dummy Time
1,803284,,"UNICEF KCO. (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> Nairobi, Kenya: UNICEF 89pg.",,,Kenya,KEN,-0.6097,39.7807,Microscopy,,5,1994,5,1994,0,6,36,270,0.133333333,2000
2,803336,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-0.97235,37.69024,RDT,Paracheck Pf (Device),10,2009,10,2009,5,17,0,109,0,2000
3,803362,," Kilifi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.",,,Kenya,KEN,-3.8442,39.7527,Microscopy,,5,2009,5,2009,0.6,8,2,11,0.181818182,2000
4,803378,,"Snow, RW, Noor, A and Gitonga, C. Nairobi, KEMRI-Wellcome Trust Research Programme, (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,Kenya,KEN,-1.31493,36.8112,RDT,Paracheck Pf (Dipstick),7,2009,7,2009,4,15,2,93,0.021505376,2000
5,803439,,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W. (1997) personal communication.",,Kenya,KEN,0.0892,34.279,Microscopy,,7,1995,7,1995,0,9,111,133,0.834586466,2000
6,803490,,"Zurovac, D. (2000) personal communication.",,,Kenya,KEN,-0.9119,34.8047,RDT,ICT Malaria Pf/Pv,5,2000,5,2000,0,14,4,72,0.055555556,2000
7,803497,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S. (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,,Kenya,KEN,-4.0742,39.18348,RDT,OptiMAL-IT,9,2008,9,2008,5,15,4,110,0.036363636,2000
8,803510,,"Guyatt, H.L., Corlett, S.K., Robinson, T.P., Ochola, S.A. and Snow, R.W. (2002).  <b>Malaria prevention in highland Kenya: indoor residual house-spraying vs. insecticide-treated bednets.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(4):298-303","Snow, RW. (2002) personal communication.",,Kenya,KEN,-0.799,34.7628,RDT,ICT Malaria Pf,7,2000,7,2000,1,75,32,120,0.266666667,2000
9,825593,,"King, C.L. (2009) personal communication.",,,Kenya,KEN,-4.6568,39.21577,Microscopy,,5,2002,5,2002,5,15,68,537,0.126629423,2000
10,803543,,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W. (1997) personal communication.",,Kenya,KEN,-3.7529,39.7135,Microscopy,,6,1995,6,1995,0,9,27,56,0.482142857,2000
