Number,id,missing data,citation1,citation2,citation3,country,country id,latitude,longitude,method,rdt type,month start,year start,month end,year end,lower age,upper age,pf pos,examined,PR,Dummy Time
1,809494,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-11.3145,37.3852,RDT,NA,6,2008,6,2008,0,4,25,53,0.471698113,2000
2,820901,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-11.26733,37.37009,RDT,NA,6,2006,6,2006,0,4,33,50,0.66,2000
3,815758,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-11.11603,37.31592,RDT,NA,6,2008,6,2008,0,4,22,47,0.468085106,2000
4,815172,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-11.0491,37.335,RDT,NA,6,2006,6,2006,0,4,22,50,0.44,2000
5,806937,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-11.04507,39.30337,RDT,NA,6,2008,6,2008,0,4,6,30,0.2,2000
6,811605,,"Molteni, F. (2008) personal communication.",,,Tanzania (United Republic of),TZA,-11.0267,39.25668,RDT,NA,6,2008,6,2008,0,4,7,26,0.269230769,2000
7,805918,,"Mutabingwa, T. (1986). <i>Malaria survey in Ruvuna and Mtwara regions of Southern Tanzania.</i>.", (2010). <i>http://mara-database.org/mara/.</i>: MARA/ARMA. 31 Aug 2010.,"Le Sueur, D., Binka, F., Lengeler, C., De Savigny, D., Snow, B., Teuscher, T. and Toure, Y. (1997).  <b>An atlas of malaria in Africa.</b> <i>Africa health</i>, <b>19</b>(2):23-4",Tanzania (United Republic of),TZA,-10.967,39.367,Microscopy,,8,1986,8,1986,0,99,155,387,0.400516796,2000
8,810089,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.96686,39.3064,RDT,Paracheck Pf,7,2004,8,2004,0,14,15,27,0.555555556,2000
9,819334,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.95919,39.3399,RDT,Paracheck Pf,7,2004,8,2004,0,14,18,36,0.5,2000
10,806289,,"Molteni, F. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.95525,37.24131,RDT,NA,6,2006,6,2006,0,4,23,50,0.46,2000
11,815632,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.95233,39.27785,RDT,Paracheck Pf,7,2004,8,2004,0,14,6,29,0.206896552,2000
12,809466,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.93334,39.38369,RDT,Paracheck Pf,7,2004,8,2004,0,14,31,42,0.738095238,2000
13,803492,,"Schellenberg, D.M. (2006) personal communication.",,,Tanzania (United Republic of),TZA,-10.93311,39.6127,RDT,Paracheck Pf,7,2004,8,2004,0,14,44,48,0.916666667,2000
