OID_,County,County_cod,Deaths,Population,Crude_Rate,Age_Adjust
,"Alachua County, FL","12,001.000000000000000","1,566.000000000000000","935,112.000000000000000",167.500000000000000,198.400000000000010
,"Baker County, FL","12,003.000000000000000",193.000000000000000,"98,959.000000000000000",195.000000000000000,225.500000000000000
,"Bay County, FL","12,005.000000000000000","1,475.000000000000000","646,666.000000000000000",228.099999999999990,203.599999999999990
,"Bradford County, FL","12,007.000000000000000",248.000000000000000,"112,793.000000000000000",219.900000000000010,208.699999999999990
,"Brevard County, FL","12,009.000000000000000","6,036.000000000000000","2,107,959.000000000000000",286.300000000000010,192.000000000000000
,"Broward County, FL","12,011.000000000000000","14,317.000000000000000","7,016,680.000000000000000",204.000000000000000,171.800000000000010
,"Calhoun County, FL","12,013.000000000000000",143.000000000000000,"53,245.000000000000000",268.600000000000020,231.099999999999990
,"Charlotte County, FL","12,015.000000000000000","2,271.000000000000000","614,482.000000000000000",369.600000000000020,175.000000000000000
,"Citrus County, FL","12,017.000000000000000","2,313.000000000000000","538,850.000000000000000",429.199999999999990,210.400000000000010
,"Clay County, FL","12,019.000000000000000","1,273.000000000000000","688,249.000000000000000",185.000000000000000,208.500000000000000
,"Collier County, FL","12,021.000000000000000","2,896.000000000000000","1,225,370.000000000000000",236.300000000000010,139.000000000000000
,"Columbia County, FL","12,023.000000000000000",623.000000000000000,"259,936.000000000000000",239.699999999999990,211.500000000000000
,"DeSoto County, FL","12,027.000000000000000",256.000000000000000,"136,699.000000000000000",187.300000000000010,156.199999999999990
,"Dixie County, FL","12,029.000000000000000",189.000000000000000,"58,505.000000000000000",323.000000000000000,240.400000000000010
,"Duval County, FL","12,031.000000000000000","6,553.000000000000000","3,339,459.000000000000000",196.199999999999990,217.599999999999990
,"Escambia County, FL","12,033.000000000000000","2,754.000000000000000","1,213,802.000000000000000",226.900000000000010,201.300000000000010
,"Flagler County, FL","12,035.000000000000000",942.000000000000000,"313,962.000000000000000",300.000000000000000,177.199999999999990
,"Franklin County, FL","12,037.000000000000000",118.000000000000000,"42,503.000000000000000",277.600000000000020,218.699999999999990
,"Gadsden County, FL","12,039.000000000000000",419.000000000000000,"184,081.000000000000000",227.599999999999990,221.199999999999990
,"Gilchrist County, FL","12,041.000000000000000",143.000000000000000,"65,499.000000000000000",218.300000000000010,188.199999999999990
,"Glades County, FL","12,043.000000000000000",106.000000000000000,"44,696.000000000000000",237.199999999999990,158.300000000000010
,"Gulf County, FL","12,045.000000000000000",156.000000000000000,"62,457.000000000000000",249.800000000000010,214.900000000000010
,"Hamilton County, FL","12,047.000000000000000",128.000000000000000,"56,052.000000000000000",228.400000000000010,245.199999999999990
,"Hardee County, FL","12,049.000000000000000",163.000000000000000,"112,072.000000000000000",145.400000000000010,140.300000000000010
,"Hendry County, FL","12,051.000000000000000",238.000000000000000,"153,645.000000000000000",154.900000000000010,179.300000000000010
,"Hernando County, FL","12,053.000000000000000","2,351.000000000000000","637,366.000000000000000",368.899999999999980,206.000000000000000
,"Highlands County, FL","12,055.000000000000000","1,309.000000000000000","383,955.000000000000000",340.899999999999980,173.900000000000010
,"Hillsborough County, F","12,057.000000000000000","8,487.000000000000000","4,559,014.000000000000000",186.199999999999990,190.800000000000010
,"Holmes County, FL","12,059.000000000000000",216.000000000000000,"76,035.000000000000000",284.100000000000020,233.400000000000010
,"Indian River County, F","12,061.000000000000000","1,853.000000000000000","511,283.000000000000000",362.399999999999980,191.400000000000010
,"Jackson County, FL","12,063.000000000000000",487.000000000000000,"193,963.000000000000000",251.099999999999990,210.800000000000010
,"Jefferson County, FL","12,065.000000000000000",140.000000000000000,"57,619.000000000000000",243.000000000000000,206.000000000000000
,"Lafayette County, FL","12,067.000000000000000",64.000000000000000,"31,158.000000000000000",205.400000000000010,215.599999999999990
,"Lake County, FL","12,069.000000000000000","3,258.000000000000000","1,124,479.000000000000000",289.699999999999990,166.400000000000010
,"Lee County, FL","12,071.000000000000000","5,780.000000000000000","2,209,534.000000000000000",261.600000000000020,163.199999999999990
,"Leon County, FL","12,073.000000000000000","1,398.000000000000000","1,024,077.000000000000000",136.500000000000000,178.099999999999990
,"Levy County, FL","12,075.000000000000000",503.000000000000000,"151,405.000000000000000",332.199999999999990,242.300000000000010
,"Liberty County, FL","12,077.000000000000000",54.000000000000000,"30,521.000000000000000",176.900000000000010,199.199999999999990
,"Madison County, FL","12,079.000000000000000",222.000000000000000,"75,477.000000000000000",294.100000000000020,253.099999999999990
,"Manatee County, FL","12,081.000000000000000","3,361.000000000000000","1,224,355.000000000000000",274.500000000000000,170.699999999999990
,"Marion County, FL","12,083.000000000000000","4,152.000000000000000","1,228,902.000000000000000",337.899999999999980,207.500000000000000
,"Martin County, FL","12,085.000000000000000","1,847.000000000000000","551,882.000000000000000",334.699999999999990,177.199999999999990
,"Miami-Dade County, FL","12,086.000000000000000","16,267.000000000000000","9,453,460.000000000000000",172.099999999999990,151.699999999999990
,"Monroe County, FL","12,087.000000000000000",745.000000000000000,"300,332.000000000000000",248.099999999999990,191.099999999999990
,"Nassau County, FL","12,089.000000000000000",641.000000000000000,"262,127.000000000000000",244.500000000000000,216.900000000000010
,"Okaloosa County, FL","12,091.000000000000000","1,434.000000000000000","729,256.000000000000000",196.599999999999990,193.900000000000010
,"Okeechobee County, FL","12,093.000000000000000",413.000000000000000,"157,746.000000000000000",261.800000000000010,217.599999999999990
,"Orange County, FL","12,095.000000000000000","6,197.000000000000000","4,135,765.000000000000000",149.800000000000010,181.000000000000000
,"Osceola County, FL","12,097.000000000000000","1,428.000000000000000","950,313.000000000000000",150.300000000000010,161.599999999999990
