WELL_ID,WELL_ADDRE,WELL_CITY,COUNTY,WELL_DEPTH,DIAMETER,longitude,latitude
160062301,8233 ATLANTIC BLVD.,JACKSONVILLE,DUVAL,0,0,81-34-13.810,30-18-50.298
160062601,8117 ATLANTIC BLVD.,JACKSONVILLE,DUVAL,0,0,81-34-17.390,30-18-50.706
160071301,6719 BLANDING BLVD.,JACKSONVILLE,DUVAL,0,2,81-44-15.610,30-13-38.064
160080201,12886 BEAUBIEN ROAD,JACKSONVILLE,DUVAL,0,0,81-33-49.647,30-8 -1.0860
160082001,5616 BRANNON,JACKSONVILLE,DUVAL,25,0,81-47-15.720,30-14-45.528
160085401,5537 BERGMAN RD,JACKSONVILLE,DUVAL,100,2,81-40-40.008,30-22-43.536
160096201,1301 GLADIOLA ST,ATLANTIC BEACH,DUVAL,0,2,81-25-35.112,30-20-2.4000
160096301,94 MACHELLE DR,JACKSONVILLE,DUVAL,0,0,81-51-14.616,30-18-57.492
160103401,10233 SHADY CREST LANE,JACKSONVILLE,DUVAL,0,2,81-49-42.381,30-18-18.247
160109501,6478 FLOWERS AVE,JACKSONVILLE,DUVAL,0,2,81-44-56.371,30-13-55.636
160113001,8455-1 FELDMAN RD,JACKSONVILLE,DUVAL,0,0,81-47-32.712,30-12-55.368
160118201,13727 FARIO RD,JACKSONVILLE,DUVAL,0,0,81-27-24.876,30-17-20.688
160121201,7432 ANNA ST,JACKSONVILLE,DUVAL,0,0,81-30-59.616,30-8 -35.124
160121301,1002 BEGONIA,ATL BEACH,DUVAL,565,2,81-25-15.793,30-20-40.574
160134701,9100 WESTLAKE DR,JACKSONVILLE,DUVAL,0,2,81-41-51.900,30-24-8.7840
160136901,9727 EISENHOWER RD,JACKSONVILLE,DUVAL,0,0,81-33-28.656,30-18-27.036
160147701,3173 WOODLAWN RD,JACKSONVILLE,DUVAL,0,2,81-43-13.188,30-22-53.868
160148301,12360 JERESE RD,JACKSONVILLE,DUVAL,0,2,81-38-22.668,30-27-50.544
160148701,350 SPAULDING RD,JACKSONVILLE,DUVAL,106,2,81-38-31.632,30-27-49.176
160153901,6747 PICKETVILLE RD,JACKSONVILLE,DUVAL,0,2,81-45-36.576,30-21-41.580
160159401,2851 PARRISH CEMETARY RD,JACKSONVILLE,DUVAL,0,2,81-49-15.174,30-16-10.754
160161901,12459 SAGO LN W,JACKSONVILLE,DUVAL,0,2,81-37-56.820,30-27-48.168
160166401,10108 FRASER RD,JACKSONVILLE,DUVAL,0,2,81-32-25.296,30-18-15.120
160171901,4822 SUNBEAM ROAD,JACKSONVILLE,DUVAL,0,2,81-35-21.120,30-12-21.312
160181901,8159 RAMONA BLVD W,JACKSONVILLE,DUVAL,0,2,81-47-6.2880,30-18-49.752
160185301,6100 SEABOARD AVE,JACKSONVILLE,DUVAL,0,2,81-43-51.024,30-14-20.940
160187701,14149 PLEASANT PT LANE,JACKSONVILLE,DUVAL,530,2,81-28-15.924,30-21-38.412
160191201,8117 RAYMOND ST,JACKSONVILLE,DUVAL,0,2,81-47-1.7520,30-17-13.596
160198601,11328 BUSINESS PARK BLVD,JACKSONVILLE,DUVAL,0,0,81-32-0.4560,30-9 -50.652
160207801,8776 VINING ST,JACKSONVILLE,DUVAL,0,2,81-47-52.620,30-15-13.104
160208501,9848 SUNSET DR,JACKSONVILLE,DUVAL,0,4,81-42-17.460,30-24-53.712
160208701,3040 TROUT,JACKSONVILLE,DUVAL,700,4,81-41-52.152,30-24-54.108
160214101,8830 WESTPORT RD,JACKSONVILLE,DUVAL,200,2,81-46-52.392,30-12-4.7880
160214601,4323 ORTEGA FARMS CIR,JACKSONVILLE,DUVAL,0,2,81-43-30.612,30-15-41.076
160217401,5621 RICKER RD,JACKSONVILLE,DUVAL,0,0,81-46-21.432,30-14-44.952
160217501,9356 FISH RD,JACKSONVILLE,DUVAL,120,2,81-48-46.692,30-21-29.628
160221601,6300 BUCK DR,JACKSONVILLE,DUVAL,0,0,81-54-43.380,30-12-21.060
160234001,8407 MAPLE ST,JACKSONVILLE,DUVAL,108,2,81-47-24.972,30-14-40.560
160245201,14826 CAPSTAN DR,JACKSONVILLE,DUVAL,0,2,81-34-31.440,30-30-30.960
160249701,527 JARON CT,JACKSONVILLE,DUVAL,0,2,81-31-30.612,30-19-50.808
160251401,12679 BEAUBIEN ROAD,JACKSONVILLE,DUVAL,0,2,81-33-49.284,30-8 -19.104
160257401,12588 ALLPORT ROAD,JACKSONVILLE,DUVAL,0,2,81-33-46.224,30-8 -26.664
160264301,38 PICKETVILLE RD,JACKSONVILLE,DUVAL,0,2,81-46-16.176,30-19-25.140
160270301,255 C ATLANTIC GARDEN CIRCLE,JACKSONVILLE,DUVAL,0,0,81-25-2.9380,30-19-34.572
160285401,1646 COCOANUT DR,JACKSONVILLE,DUVAL,160,2,81-26-50.780,30-19-13.858
160285601,1703 SUNNYSIDE AVE,JAX,DUVAL,0,2,81-26-34.692,30-19-13.584
160290901,9321 INDIANA ST,JAX,DUVAL,0,2,81-39-11.520,30-24-34.848
160302001,7814 LAKELAND ST,JACKSONVILLE,DUVAL,0,2,81-46-37.981,30-18-50.684
160309901,5333 WALSER RD,JACKSONVILLE,DUVAL,0,2,81-44-14.568,30-21-43.992
160328101,6350 FIRESTONE RD,JACKSONVILLE,DUVAL,150,2,81-45-54.803,30-14-4.0700
160329901,4365 SPARKMAN RD,JACKSONVILLE,DUVAL,0,0,81-35-46.878,30-9 -12.254
210000401,P.O. BOX 282,TRENTON,GILCHRIST,0,0,82-50-37.203,29-36-23.440
210006901,10879 NW 15TH AVE,BRANFORD,GILCHRIST,0,4,82-50-0.1300,29-53-0.7900
220001901,GENERAL DELIVERY,PALMDALE,GLADES,0,0,81-18-47.132,26-56-42.719
230001701,201 SAUNDERS CIRCLE,PORT ST. JOE,GULF,0,0,85-22-25.989,29-59-39.019
250003001,"RT. 1, BOX 237",WAUCHULA,HARDEE,0,0,81-49-29.406,27-35-14.215
250008101,"RT. 1, BOX 425-C",ZOLFO SPRINGS,HARDEE,90,0,81-47-31.084,27-27-16.945
250009401,"RT. 1, BOX 9",ZOLFO SPRINGS,HARDEE,199,0,81-43-4.2200,27-28-37.367
250022201,5271 N. CR 663,BOWLING GREEN,HARDEE,0,1,81-56-11.400,27-37-19.200
260000102,PORT LABELLE,LABELLE,HENDRY,0,0,81-22-33.485,26-46-0.2310
260001801,P.O. BOX 1154,LABELLE,HENDRY,0,0,81-30-55.901,26-42-38.752
260003801,1074 LUCKEY STREET,LABELLE,HENDRY,0,0,81-26-57.573,26-44-59.329
270000103,9500 ELDRIDGE ROAD,SPRING HILL,HERNANDO,0,0,82-36-23.543,28-27-1.1470
270013101,5180 CALIFORNIA,BROOKSVILLE,HERNANDO,50,4,82-27-41.184,28-30-22.450
270015501,9222 SIKES COWPON ROAD,BROOKSVILLE,HERNANDO,0,4,82-17-37.400,28-33-46.300
270019401,27151 LA PALOMA LN,BROOKSVILLE,HERNANDO,200,4,82-17-26.180,28-32-25.220
280008001,947 LAKE ANGELO DRIVE,AVON PARK,HIGHLANDS,80,0,81-28-12.708,27-35-8.4520
280008101,14 CRAWFORD RD.,LAKE PLACID,HIGHLANDS,0,0,81-23-39.998,27-20-34.594
280014201,1561 ARBUCKLE CREEK RD.,SEBRING,HIGHLANDS,92,0,81-27-3.4200,27-31-17.875
280024001,50 LAKE BYRD BLVD.,AVON PARK,HIGHLANDS,60,0,81-30-57.672,27-37-26.850
280033701,1141 U.S. 27 S.,LAKE PLACID,HIGHLANDS,100,0,81-21-31.650,27-17-9.6030
280039601,3440 CINDY'S LANE,SEBRING,HIGHLANDS,0,0,81-25-51.754,27-31-4.4640
280063401,HAPPINESS FARMS,LAKE PLACID,HIGHLANDS,1500,0,81-20-28.944,27-18-12.168
280066101,4613 ORANGE BLVD.,SEBRING,HIGHLANDS,0,0,81-25-8.5260,27-27-9.4320
280072302,"RT. 3, BOX 260",SEBRING,HIGHLANDS,0,0,81-24-48.089,27-23-26.723
280074901,P.O. BOX 3331,SEBRING,HIGHLANDS,0,0,81-25-7.2040,27-29-11.495
280076501,P.O. BOX 1005,LAKE PLACID,HIGHLANDS,0,0,81-21-27.668,27-17-0.8360
280079901,104 BODENHAM RD.,LAKE PLACID,HIGHLANDS,0,0,81-24-51.413,27-20-26.012
280088201,2126 OAK BEACH BLVD.,SEBRING,HIGHLANDS,0,0,81-29-11.189,27-22-55.648
280089502,"RT. 1, BOX 1105",AVON PARK,HIGHLANDS,0,0,81-25-38.844,27-35-11.503
280105701,1800 FONDA ROAD,AVON PARK,HIGHLANDS,0,0,81-25-31.647,27-37-5.9210
280110101,P.O. BOX 1564,SEBRING,HIGHLANDS,0,0,81-24-35.067,27-28-48.843
280110701,2901 AIRPORT RD.,SEBRING,HIGHLANDS,45,0,81-24-21.170,27-28-36.209
280114401,6200 OAKLAND RD.,SEBRING,HIGHLANDS,55,0,81-24-10.074,27-27-50.742
280115701,"4801 U.S. 27, SOUTH",SEBRING,HIGHLANDS,0,0,81-25-31.922,27-27-19.617
280120001,P.O. BOX 3332,SEBRING,HIGHLANDS,0,0,81-22-15.240,27-28-6.2400
280123601,606 S ANGELO LAKE RD.,AVON PARK,HIGHLANDS,74,0,81-27-55.751,27-35-24.216
280124401,63 CLOVERLEAF BYPASS,LAKE PLACID,HIGHLANDS,0,0,81-23-48.339,27-20-17.790
280128202,841 FIELDER BLVD,SEBRING,HIGHLANDS,0,0,81-32-4.4460,27-26-36.019
280136001,100 HILLCREST DR.,AVON PARK,HIGHLANDS,0,0,81-30-18.999,27-38-31.893
280154501,492 LAKE FRANCIS RD.,LAKE PLACID,HIGHLANDS,0,0,81-24-37.460,27-20-41.653
280155101,2118 ARGONAUT,AVON PARK,HIGHLANDS,70,0,81-32-8.0810,27-37-6.4980
280168701,4921 OAK CIRCLE,SEBRING,HIGHLANDS,0,0,81-25-33.974,27-27-14.068
280172701,1191 E. LAKE LOTELA DR.,AVON PARK,HIGHLANDS,0,0,81-28-46.411,27-34-3.2880
280188201,102 CITRUS LAKE DRIVE,LAKE PLACID,HIGHLANDS,75,2,81-23-53.257,27-21-15.940
280192001,2440 DON CARLOS AVE.,AVON PARK,HIGHLANDS,60,2,81-27-8.8710,27-33-42.782
280192701,64 CATFISH CREEK LN.,LAKE PLACID,HIGHLANDS,0,0,81-23-3.6560,27-17-14.506
280194501,5509 SEBRING LAKES BLVD.,SEBRING,HIGHLANDS,85,1,81-24-26.618,27-22-27.490
280202801,1733 N. MORNINGSIDE RD.,AVON PARK,HIGHLANDS,0,0,81-31-53.851,27-37-11.141
280209101,2338 DUNWOODIE RD.,AVON PARK,HIGHLANDS,0,0,81-32-24.110,27-37-44.786
280214501,2361 CLARADGE AV,SEBRING,HIGHLANDS,0,1,81-27-18.360,27-32-27.780
280221801,2526 RAVEN RD.,AVON PARK,HIGHLANDS,0,0,81-32-31.772,27-37-8.3530
280223801,2721 NAUTILUS DR.,AVON PARK,HIGHLANDS,0,0,81-32-36.936,27-37-56.273
280235801,6802 N. C.R. 17,SEBRING,HIGHLANDS,0,0,81-24-28.404,27-26-14.841
280248201,2131 WESTSHORE DR.,AVON PARK,HIGHLANDS,53,2,81-32-7.7560,27-38-9.4880
280257201,205 MINI RANCH ROAD,SEBRING,HIGHLANDS,65,2,81-23-1.6500,27-27-50.970
280258501,1845 ZENITH RD.,AVON PARK,HIGHLANDS,0,0,81-32-38.770,27-37-12.196
280262701,2120 W. MARLIN RD.,AVON PARK,HIGHLANDS,0,0,81-32-8.4280,27-37-9.0950
280267401,2605 KENT ROAD,AVON PARK,HIGHLANDS,0,0,81-32-41.146,27-37-5.2470
280271501,507 LAKE JOSEPHINE SHORES RD,SEBRING,HIGHLANDS,0,0,81-25-7.5810,27-24-4.2730
280280802,10962 PAYNE RD,SEBRING,HIGHLANDS,65,0,81-28-55.340,27-22-54.764
280281101,2053 N TORRINGTON RD,AVON PARK,HIGHLANDS,0,0,81-32-29.891,27-37-27.113
280299101,160 PENDARVIS ROAD,LAKE PLACID,HIGHLANDS,80,2,81-21-3.8900,27-17-35.388
280301301,10 LAKE JUNE CLUBHOUSE ROAD,LAKE PLACID,HIGHLANDS,0,2,81-22-21.576,27-18-54.396
280303401,2108 U.S. 27 S.,LAKE PLACID,HIGHLANDS,40,2,81-20-2.3910,27-14-20.319
