Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/3/15,walking,walking,2015-02-03T05:01:38-05:00,2015-02-03T05:08:53-05:00,435,0.203,435,0
2/3/15,running,running,2015-02-03T05:01:41-05:00,2015-02-03T05:06:17-05:00,276,0.370,603,0
2/3/15,walking,walking,2015-02-03T05:06:18-05:00,2015-02-03T05:07:11-05:00,53,0.027,86,0
2/3/15,walking,walking,2015-02-03T05:37:33-05:00,2015-02-03T05:44:47-05:00,434,0.322,660,0
2/3/15,walking,walking,2015-02-03T05:47:09-05:00,2015-02-03T05:47:39-05:00,30,0.016,51,0
2/3/15,walking,walking,2015-02-03T07:23:45-05:00,2015-02-03T07:30:28-05:00,403,0.293,749,0
2/3/15,walking,walking,2015-02-03T07:33:20-05:00,2015-02-03T07:35:25-05:00,125,0.061,130,0
2/3/15,walking,walking,2015-02-03T08:01:34-05:00,2015-02-03T08:04:03-05:00,149,0.085,182,0
2/3/15,cycling,cycling,2015-02-03T08:13:32-05:00,2015-02-03T08:23:59-05:00,627,2.609,0,0
2/3/15,walking,walking,2015-02-03T08:25:01-05:00,2015-02-03T08:26:35-05:00,94,0.037,118,0
2/3/15,walking,walking,2015-02-03T09:28:01-05:00,2015-02-03T09:28:21-05:00,20,0.012,37,0
2/3/15,walking,walking,2015-02-03T11:21:31-05:00,2015-02-03T11:25:58-05:00,267,0.205,440,0
2/3/15,cycling,cycling,2015-02-03T11:31:34-05:00,2015-02-03T11:45:37-05:00,843,2.487,0,0
2/3/15,walking,walking,2015-02-03T11:45:37-05:00,2015-02-03T11:46:35-05:00,58,0.019,60,0
2/3/15,walking,walking,2015-02-03T12:03:24-05:00,2015-02-03T12:03:43-05:00,19,0.007,23,0
2/3/15,cycling,cycling,2015-02-03T12:17:29-05:00,2015-02-03T12:29:22-05:00,713,2.404,0,0
2/3/15,walking,walking,2015-02-03T12:29:23-05:00,2015-02-03T12:30:44-05:00,81,0.029,92,0
2/3/15,walking,walking,2015-02-03T14:28:45-05:00,2015-02-03T14:29:11-05:00,26,0.009,30,0
2/3/15,walking,walking,2015-02-03T16:33:30-05:00,2015-02-03T16:43:47-05:00,617,0.201,648,0
2/3/15,transport,transport,2015-02-03T16:43:46-05:00,2015-02-03T19:29:56-05:00,9970,1.476,0,0
2/3/15,cycling,cycling,2015-02-03T19:29:55-05:00,2015-02-03T19:42:58-05:00,783,0.047,0,0
2/3/15,transport,transport,2015-02-03T19:42:58-05:00,2015-02-03T20:31:38-05:00,2920,0.510,0,0
2/3/15,walking,walking,2015-02-03T21:51:40-05:00,2015-02-03T21:52:10-05:00,30,0.009,31,0
2/3/15,walking,walking,2015-02-03T22:05:57-05:00,2015-02-03T22:09:01-05:00,184,0.086,139,0
2/3/15,walking,walking,2015-02-03T23:02:48-05:00,2015-02-03T23:03:18-05:00,30,0.009,30,0
2/3/15,transport,transport,2015-02-03T23:06:24-05:00,2015-02-03T23:16:30-05:00,606,0.308,0,0
