Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
2/2/15,Place in Gainesville,2015-02-02T00:00:00-05:00,2015-02-02T05:29:50-05:00,19790,29.6565354608,-82.326775329,,
2/2/15,Place in Gainesville,2015-02-02T05:34:25-05:00,2015-02-02T13:35:20-05:00,28855,29.6565354608,-82.326775329,,
2/2/15,Place in Gainesville,2015-02-02T13:43:32-05:00,2015-02-02T14:19:29-05:00,2157,29.6584308887,-82.3231472242,,
2/2/15,Place in Gainesville,2015-02-02T14:28:37-05:00,2015-02-02T16:17:31-05:00,6534,29.6565354608,-82.326775329,,
2/2/15,Place in University of Florida,2015-02-02T16:27:31-05:00,2015-02-02T18:42:47-05:00,8116,29.6401239601,-82.3500331577,,
2/2/15,Place in Gainesville,2015-02-02T19:03:26-05:00,2015-02-02T19:11:33-05:00,487,29.6617973866,-82.3256910298,,
2/2/15,Place in Gainesville,2015-02-02T19:15:03-05:00,2015-02-02T19:27:54-05:00,771,29.6633997003,-82.3248541788,,
2/2/15,Place in Gainesville,2015-02-02T19:31:04-05:00,2015-02-02T20:18:19-05:00,2835,29.6565354608,-82.326775329,,
2/2/15,Place in Gainesville,2015-02-02T20:30:37-05:00,2015-02-02T22:35:01-05:00,7464,29.6584308887,-82.3231472242,,
2/2/15,Home,2015-02-02T22:43:59-05:00,2015-02-03T00:00:00-05:00,4561,29.6564969542,-82.3267639009,Home,
