Date,Type,Name,Start,End,Duration
2/8/15,place,Home,2015-02-08T00:00:00-05:00,2015-02-08T10:24:06-05:00,37446
2/8/15,move,walking,2015-02-08T10:24:06-05:00,2015-02-08T10:37:51-05:00,825
2/8/15,place,Place in Gainesville,2015-02-08T10:37:51-05:00,2015-02-08T13:09:56-05:00,9125
2/8/15,move,walking,2015-02-08T13:09:56-05:00,2015-02-08T13:32:07-05:00,1331
2/8/15,place,Home,2015-02-08T13:32:06-05:00,2015-02-08T17:33:21-05:00,14475
2/8/15,move,walking,2015-02-08T17:33:21-05:00,2015-02-08T17:42:13-05:00,532
2/8/15,place,Home,2015-02-08T17:42:13-05:00,2015-02-08T17:56:05-05:00,832
2/8/15,place,Place in Gainesville,2015-02-08T17:56:05-05:00,2015-02-08T18:06:29-05:00,624
2/8/15,move,walking,2015-02-08T18:06:29-05:00,2015-02-08T18:21:55-05:00,926
2/8/15,place,Home,2015-02-08T18:21:54-05:00,2015-02-08T19:00:45-05:00,2331
2/8/15,move,transport,2015-02-08T19:00:45-05:00,2015-02-08T19:02:00-05:00,75
2/8/15,place,Place in Gainesville,2015-02-08T19:02:00-05:00,2015-02-08T21:29:52-05:00,8872
2/8/15,move,walking,2015-02-08T21:29:52-05:00,2015-02-08T21:38:54-05:00,542
2/8/15,place,Home,2015-02-08T21:38:53-05:00,2015-02-09T00:00:00-05:00,8467
