Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
1/25/15,Place in Gainesville,2015-01-25T10:46:11-05:00,2015-01-25T12:46:43-05:00,7232,29.6565354608,-82.326775329,,
1/25/15,Place in Gainesville,2015-01-25T12:57:33-05:00,2015-01-25T13:49:33-05:00,3120,29.6617215257,-82.3222402478,,
1/25/15,Place in Gainesville,2015-01-25T13:54:30-05:00,2015-01-25T14:04:11-05:00,581,29.6584308887,-82.3231472242,,
1/25/15,Place in Gainesville,2015-01-25T14:07:36-05:00,2015-01-25T16:14:09-05:00,7593,29.6565354608,-82.326775329,,
1/25/15,Place in Gainesville,2015-01-25T16:37:50-05:00,2015-01-26T00:00:00-05:00,26530,29.6565354608,-82.326775329,,
1/26/15,Place in Gainesville,2015-01-26T00:00:00-05:00,2015-01-26T16:13:04-05:00,58384,29.6565354608,-82.326775329,,
1/26/15,Place in University of Florida,2015-01-26T16:24:38-05:00,2015-01-26T18:42:19-05:00,8261,29.6401239601,-82.3500331577,,
1/26/15,Place in Gainesville,2015-01-26T18:55:34-05:00,2015-01-27T00:00:00-05:00,18266,29.6565354608,-82.326775329,,
1/27/15,Place in Gainesville,2015-01-27T00:00:00-05:00,2015-01-27T06:22:33-05:00,22953,29.6565354608,-82.326775329,,
1/27/15,Place in Gainesville,2015-01-27T06:26:54-05:00,2015-01-27T08:09:39-05:00,6165,29.6565354608,-82.326775329,,
1/27/15,Place in Gainesville,2015-01-27T08:21:01-05:00,2015-01-27T09:11:47-05:00,3046,29.6717569188,-82.3393605736,,
1/27/15,Place in University of Florida,2015-01-27T09:29:29-05:00,2015-01-27T11:42:20-05:00,7971,29.6401239601,-82.3500331577,,
1/27/15,Place in Gainesville,2015-01-27T11:52:33-05:00,2015-01-27T11:56:28-05:00,235,29.6350970312,-82.3553268138,,
1/27/15,Place in Gainesville,2015-01-27T12:12:14-05:00,2015-01-28T00:00:00-05:00,42466,29.6565354608,-82.326775329,,
1/28/15,Place in Gainesville,2015-01-28T00:00:00-05:00,2015-01-28T19:33:30-05:00,70410,29.6565354608,-82.326775329,,
1/28/15,Place in Gainesville,2015-01-28T19:38:15-05:00,2015-01-28T22:16:11-05:00,9476,29.6584308887,-82.3231472242,,
1/28/15,Place in Gainesville,2015-01-28T22:24:43-05:00,2015-01-29T00:00:00-05:00,5717,29.6565354608,-82.326775329,,
1/29/15,Place in Gainesville,2015-01-29T00:00:00-05:00,2015-01-29T12:53:33-05:00,46413,29.6565354608,-82.326775329,,
1/29/15,Place in University of Florida,2015-01-29T13:07:04-05:00,2015-01-29T13:58:54-05:00,3110,29.6401239601,-82.3500331577,,
1/29/15,Place in University of Florida,2015-01-29T14:01:24-05:00,2015-01-29T14:03:49-05:00,145,29.6412653071,-82.3444141007,,
1/29/15,Place in Gainesville,2015-01-29T14:19:23-05:00,2015-01-29T16:06:07-05:00,6404,29.6375018345,-82.3518371665,,
1/29/15,Place in University of Florida,2015-01-29T16:12:04-05:00,2015-01-29T20:20:33-05:00,14909,29.641386103,-82.3454001983,,
1/29/15,Place in Gainesville,2015-01-29T20:32:36-05:00,2015-01-30T00:00:00-05:00,12444,29.6565354608,-82.326775329,,
1/30/15,Place in Gainesville,2015-01-30T00:00:00-05:00,2015-01-30T09:17:15-05:00,33435,29.6565354608,-82.326775329,,
1/30/15,Place in University of Florida,2015-01-30T09:26:43-05:00,2015-01-30T12:37:11-05:00,11428,29.641591782,-82.3448683504,,
1/30/15,Place in Gainesville,2015-01-30T12:53:17-05:00,2015-01-30T13:34:27-05:00,2470,29.6487508042,-82.2959208587,,
1/30/15,Place in Lincoln Estates,2015-01-30T13:40:56-05:00,2015-01-30T13:48:49-05:00,473,29.6465881362,-82.2937236646,,
1/30/15,Place in Gainesville,2015-01-30T13:49:30-05:00,2015-01-30T17:09:36-05:00,12006,29.6494642535,-82.2954513859,,
1/30/15,Place in Gainesville,2015-01-30T17:22:59-05:00,2015-01-30T21:42:28-05:00,15569,29.6565354608,-82.326775329,,
1/30/15,Place in Gainesville,2015-01-30T22:11:32-05:00,2015-01-31T00:00:00-05:00,6508,29.6565354608,-82.326775329,,
1/31/15,Place in Gainesville,2015-01-31T00:00:00-05:00,2015-01-31T15:13:35-05:00,54815,29.6565354608,-82.326775329,,
1/31/15,Place in Gainesville,2015-01-31T15:19:13-05:00,2015-01-31T15:49:39-05:00,1826,29.6592685914,-82.3276915099,,
1/31/15,Place in Gainesville,2015-01-31T15:54:23-05:00,2015-01-31T16:01:11-05:00,408,29.6565354608,-82.326775329,,
1/31/15,Place in Gainesville,2015-01-31T16:07:57-05:00,2015-01-31T18:14:57-05:00,7620,29.6555884898,-82.3229598209,,
1/31/15,Place in Gainesville,2015-01-31T18:24:11-05:00,2015-01-31T19:41:37-05:00,4646,29.6565354608,-82.326775329,,
1/31/15,Place in Gainesville,2015-01-31T19:44:47-05:00,2015-01-31T19:55:42-05:00,655,29.652208279,-82.3256059046,,
1/31/15,Place in Gainesville,2015-01-31T19:57:25-05:00,2015-02-01T00:00:00-05:00,14555,29.6565354608,-82.326775329,,
