Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
2/9/15,walking,walking,2015-02-09T05:52:18-05:00,2015-02-09T05:53:18-05:00,60,0.022,71,0
2/9/15,running,running,2015-02-09T05:57:04-05:00,2015-02-09T06:02:38-05:00,334,0.413,826,0
2/9/15,walking,walking,2015-02-09T07:21:11-05:00,2015-02-09T07:23:01-05:00,110,0.034,106,0
2/9/15,walking,walking,2015-02-09T08:03:21-05:00,2015-02-09T08:03:51-05:00,30,0.009,20,0
2/9/15,walking,walking,2015-02-09T09:40:53-05:00,2015-02-09T09:41:23-05:00,30,0.009,20,0
2/9/15,walking,walking,2015-02-09T10:49:50-05:00,2015-02-09T10:50:20-05:00,30,0.019,61,0
2/9/15,walking,walking,2015-02-09T18:36:43-05:00,2015-02-09T18:38:43-05:00,120,0.062,132,0
2/9/15,cycling,cycling,2015-02-09T18:42:27-05:00,2015-02-09T18:49:36-05:00,429,1.239,0,0
2/9/15,walking,walking,2015-02-09T18:50:18-05:00,2015-02-09T18:51:18-05:00,60,0.029,92,0
2/9/15,cycling,cycling,2015-02-09T19:01:54-05:00,2015-02-09T19:07:27-05:00,333,0.779,0,0
2/9/15,walking,walking,2015-02-09T19:07:27-05:00,2015-02-09T19:11:29-05:00,242,0.130,306,0
2/9/15,walking,walking,2015-02-09T19:13:21-05:00,2015-02-09T19:20:12-05:00,411,0.260,559,0
2/9/15,walking,walking,2015-02-09T19:50:20-05:00,2015-02-09T20:06:11-05:00,951,0.709,1475,0
2/9/15,walking,walking,2015-02-09T20:06:11-05:00,2015-02-09T20:06:30-05:00,19,0.010,32,0
2/9/15,walking,walking,2015-02-09T20:16:01-05:00,2015-02-09T20:24:55-05:00,534,0.578,776,0
2/9/15,walking,walking,2015-02-09T20:34:59-05:00,2015-02-09T20:41:16-05:00,377,0.306,656,0
2/9/15,cycling,cycling,2015-02-09T20:44:32-05:00,2015-02-09T20:55:16-05:00,644,1.905,0,0
2/9/15,walking,walking,2015-02-09T20:58:58-05:00,2015-02-09T20:59:59-05:00,61,0.019,51,0
2/9/15,walking,walking,2015-02-09T22:09:53-05:00,2015-02-09T22:11:23-05:00,90,0.041,132,0
2/10/15,walking,walking,2015-02-10T09:19:28-05:00,2015-02-10T09:20:32-05:00,64,0.025,79,0
2/10/15,transport,transport,2015-02-10T09:22:41-05:00,2015-02-10T09:25:29-05:00,168,0.831,0,0
2/10/15,cycling,cycling,2015-02-10T09:25:29-05:00,2015-02-10T09:30:57-05:00,328,1.562,0,0
2/10/15,walking,walking,2015-02-10T09:32:00-05:00,2015-02-10T09:33:59-05:00,119,0.050,160,0
2/10/15,walking,walking,2015-02-10T11:25:45-05:00,2015-02-10T11:32:15-05:00,390,0.307,659,0
2/10/15,transport,transport,2015-02-10T11:57:17-05:00,2015-02-10T11:59:26-05:00,129,0.327,0,0
2/10/15,walking,walking,2015-02-10T11:59:49-05:00,2015-02-10T12:02:18-05:00,149,0.123,271,0
2/10/15,walking,walking,2015-02-10T13:22:31-05:00,2015-02-10T13:24:19-05:00,108,0.068,218,0
2/10/15,transport,transport,2015-02-10T13:25:49-05:00,2015-02-10T13:27:18-05:00,89,0.360,0,0
2/10/15,walking,walking,2015-02-10T13:27:18-05:00,2015-02-10T13:29:56-05:00,158,0.166,223,0
2/10/15,walking,walking,2015-02-10T13:53:10-05:00,2015-02-10T13:53:40-05:00,30,0.009,20,0
2/10/15,walking,walking,2015-02-10T14:00:11-05:00,2015-02-10T14:03:11-05:00,180,0.099,212,0
2/10/15,cycling,cycling,2015-02-10T14:06:54-05:00,2015-02-10T14:18:03-05:00,669,2.303,0,0
2/10/15,walking,walking,2015-02-10T14:18:03-05:00,2015-02-10T14:22:28-05:00,265,0.266,357,0
2/10/15,walking,walking,2015-02-10T16:00:28-05:00,2015-02-10T16:01:28-05:00,60,0.025,81,0
2/10/15,walking,walking,2015-02-10T19:02:28-05:00,2015-02-10T19:09:48-05:00,440,0.248,532,0
2/10/15,walking,walking,2015-02-10T21:00:16-05:00,2015-02-10T21:01:46-05:00,90,0.041,132,0
2/10/15,walking,walking,2015-02-10T23:00:03-05:00,2015-02-10T23:01:03-05:00,60,0.035,112,0
2/11/15,walking,walking,2015-02-11T04:58:08-05:00,2015-02-11T04:58:38-05:00,30,0.009,30,0
2/11/15,walking,walking,2015-02-11T06:55:44-05:00,2015-02-11T06:55:55-05:00,11,0.005,15,0
2/11/15,walking,walking,2015-02-11T08:47:57-05:00,2015-02-11T08:48:12-05:00,15,0.006,18,0
2/11/15,walking,walking,2015-02-11T09:28:42-05:00,2015-02-11T09:28:53-05:00,11,0.006,18,0
2/11/15,walking,walking,2015-02-11T10:27:50-05:00,2015-02-11T10:28:07-05:00,17,0.006,19,0
