Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
2/9/15,Home,2015-02-09T00:00:00-05:00,2015-02-09T05:57:04-05:00,21424,29.6564969542,-82.3267639009,Home,
2/9/15,Home,2015-02-09T06:02:38-05:00,2015-02-09T18:42:27-05:00,45589,29.6564969542,-82.3267639009,Home,
2/9/15,Place in Gainesville,2015-02-09T18:49:37-05:00,2015-02-09T19:01:54-05:00,737,29.6522515547,-82.341182013,,
2/9/15,Place in University of Florida,2015-02-09T19:11:29-05:00,2015-02-09T19:50:20-05:00,2331,29.6493321855,-82.3504432401,,
2/9/15,Place in University of Florida,2015-02-09T20:06:11-05:00,2015-02-09T20:16:01-05:00,590,29.6504700508,-82.3522286685,,
2/9/15,Place in University of Florida,2015-02-09T20:24:56-05:00,2015-02-09T20:44:32-05:00,1176,29.6497400121,-82.3514358593,,
2/9/15,Home,2015-02-09T20:55:15-05:00,2015-02-10T00:00:00-05:00,11085,29.6564969542,-82.3267639009,Home,
2/10/15,Home,2015-02-10T00:00:00-05:00,2015-02-10T09:22:41-05:00,33761,29.6564969542,-82.3267639009,Home,
2/10/15,Place in University of Florida,2015-02-10T09:30:57-05:00,2015-02-10T11:57:17-05:00,8780,29.6401239601,-82.3500331577,,
2/10/15,Place in University of Florida,2015-02-10T11:59:26-05:00,2015-02-10T13:25:49-05:00,5183,29.641247577,-82.3457681414,,
2/10/15,Place in Gainesville,2015-02-10T13:29:56-05:00,2015-02-10T14:06:54-05:00,2218,29.6375018345,-82.3518371665,,
2/10/15,Home,2015-02-10T14:22:28-05:00,2015-02-11T00:00:00-05:00,34652,29.6564969542,-82.3267639009,Home,
2/11/15,Home,2015-02-11T00:00:00-05:00,2015-02-11T18:33:27-05:00,66807,29.6564969542,-82.3267639009,Home,
2/11/15,Place in Gainesville,2015-02-11T18:43:21-05:00,2015-02-11T19:00:35-05:00,1034,29.6515912975,-82.3240211997,,
2/11/15,Place in Gainesville,2015-02-11T19:06:46-05:00,2015-02-11T20:44:42-05:00,5876,29.6512900294,-82.3269102103,,
2/11/15,Home,2015-02-11T21:05:17-05:00,2015-02-12T00:00:00-05:00,10483,29.6564969542,-82.3267639009,Home,
2/12/15,Home,2015-02-12T00:00:00-05:00,2015-02-12T16:44:41-05:00,60281,29.6564969542,-82.3267639009,Home,
2/12/15,Place in Gainesville,2015-02-12T16:57:43-05:00,2015-02-12T18:00:22-05:00,3759,29.6375018345,-82.3518371665,,
2/12/15,Place in University of Florida,2015-02-12T18:02:31-05:00,2015-02-12T20:18:28-05:00,8157,29.641591782,-82.3448683504,,
2/12/15,Home,2015-02-12T20:29:22-05:00,2015-02-13T00:00:00-05:00,12638,29.6564969542,-82.3267639009,Home,
2/13/15,Home,2015-02-13T00:00:00-05:00,2015-02-13T07:27:35-05:00,26855,29.6564969542,-82.3267639009,Home,
2/13/15,Place in University of Florida,2015-02-13T07:43:29-05:00,2015-02-13T09:24:43-05:00,6074,29.6378095876,-82.3496177369,,
2/13/15,Place in University of Florida,2015-02-13T09:27:25-05:00,2015-02-13T12:42:28-05:00,11703,29.641591782,-82.3448683504,,
2/13/15,Home,2015-02-13T12:56:55-05:00,2015-02-14T00:00:00-05:00,39785,29.6564969542,-82.3267639009,Home,
2/14/15,Home,2015-02-14T00:00:00-05:00,2015-02-14T07:34:30-05:00,27270,29.6564969542,-82.3267639009,Home,
2/14/15,Place in Gainesville,2015-02-14T07:37:14-05:00,2015-02-14T07:54:23-05:00,1029,29.6636619757,-82.3252243903,,
2/14/15,Home,2015-02-14T07:57:33-05:00,2015-02-14T16:13:41-05:00,29768,29.6564969542,-82.3267639009,Home,
2/14/15,Place in Gainesville,2015-02-14T16:27:19-05:00,2015-02-14T16:50:57-05:00,1418,29.6565615853,-82.3187163055,,
2/14/15,Place in Gainesville,2015-02-14T17:01:47-05:00,2015-02-14T17:38:32-05:00,2205,29.6552008039,-82.3227941816,,
2/14/15,Place in Gainesville,2015-02-14T17:44:05-05:00,2015-02-14T18:02:45-05:00,1120,29.6566936883,-82.3225555348,,
2/14/15,Home,2015-02-14T18:08:29-05:00,2015-02-15T00:00:00-05:00,21091,29.6564969542,-82.3267639009,Home,
2/15/15,Home,2015-02-15T00:00:00-05:00,2015-02-15T18:20:06-05:00,66006,29.6564969542,-82.3267639009,Home,
2/15/15,Place in Gainesville,2015-02-15T18:29:48-05:00,2015-02-15T20:22:29-05:00,6761,29.6584308887,-82.3231472242,,
2/15/15,Place in Gainesville,2015-02-15T20:25:12-05:00,2015-02-15T20:41:21-05:00,969,29.6565615853,-82.3187163055,,
2/15/15,Home,2015-02-15T20:48:50-05:00,2015-02-16T00:00:00-05:00,11470,29.6564969542,-82.3267639009,Home,
