Date,Type,Name,Start,End,Duration
1/26/15,place,Place in Gainesville,2015-01-26T00:00:00-05:00,2015-01-26T16:13:04-05:00,58384
1/26/15,move,cycling,2015-01-26T16:13:04-05:00,2015-01-26T16:24:38-05:00,694
1/26/15,place,Place in University of Florida,2015-01-26T16:24:38-05:00,2015-01-26T18:42:19-05:00,8261
1/26/15,move,cycling,2015-01-26T18:42:19-05:00,2015-01-26T18:55:33-05:00,794
1/26/15,place,Place in Gainesville,2015-01-26T18:55:34-05:00,2015-01-27T00:00:00-05:00,18266
1/27/15,place,Place in Gainesville,2015-01-27T00:00:00-05:00,2015-01-27T06:22:33-05:00,22953
1/27/15,move,running,2015-01-27T06:22:33-05:00,2015-01-27T06:26:53-05:00,260
1/27/15,place,Place in Gainesville,2015-01-27T06:26:54-05:00,2015-01-27T08:09:39-05:00,6165
1/27/15,move,cycling,2015-01-27T08:09:39-05:00,2015-01-27T08:21:01-05:00,682
1/27/15,place,Place in Gainesville,2015-01-27T08:21:01-05:00,2015-01-27T09:11:47-05:00,3046
1/27/15,move,cycling,2015-01-27T09:11:47-05:00,2015-01-27T09:29:29-05:00,1062
1/27/15,place,Place in University of Florida,2015-01-27T09:29:29-05:00,2015-01-27T11:42:20-05:00,7971
1/27/15,move,cycling,2015-01-27T11:42:20-05:00,2015-01-27T11:52:33-05:00,613
1/27/15,place,Place in Gainesville,2015-01-27T11:52:33-05:00,2015-01-27T11:56:28-05:00,235
1/27/15,move,cycling,2015-01-27T11:56:28-05:00,2015-01-27T12:12:14-05:00,946
1/27/15,place,Place in Gainesville,2015-01-27T12:12:14-05:00,2015-01-28T00:00:00-05:00,42466
1/28/15,place,Place in Gainesville,2015-01-28T00:00:00-05:00,2015-01-28T19:33:30-05:00,70410
1/28/15,move,walking,2015-01-28T19:33:30-05:00,2015-01-28T19:38:14-05:00,284
1/28/15,place,Place in Gainesville,2015-01-28T19:38:15-05:00,2015-01-28T22:16:11-05:00,9476
1/28/15,move,walking,2015-01-28T22:16:11-05:00,2015-01-28T22:24:43-05:00,512
1/28/15,place,Place in Gainesville,2015-01-28T22:24:43-05:00,2015-01-29T00:00:00-05:00,5717
1/29/15,place,Place in Gainesville,2015-01-29T00:00:00-05:00,2015-01-29T12:53:33-05:00,46413
1/29/15,move,cycling,2015-01-29T12:53:33-05:00,2015-01-29T13:07:05-05:00,812
1/29/15,place,Place in University of Florida,2015-01-29T13:07:04-05:00,2015-01-29T13:58:54-05:00,3110
1/29/15,move,cycling,2015-01-29T13:58:54-05:00,2015-01-29T14:01:25-05:00,151
1/29/15,place,Place in University of Florida,2015-01-29T14:01:24-05:00,2015-01-29T14:03:49-05:00,145
1/29/15,move,cycling,2015-01-29T14:03:49-05:00,2015-01-29T14:09:23-05:00,334
1/29/15,place,Place in Gainesville,2015-01-29T14:19:23-05:00,2015-01-29T16:06:07-05:00,6404
1/29/15,move,transport,2015-01-29T16:06:07-05:00,2015-01-29T16:09:25-05:00,198
1/29/15,move,walking,2015-01-29T16:09:26-05:00,2015-01-29T16:12:04-05:00,158
1/29/15,place,Place in University of Florida,2015-01-29T16:12:04-05:00,2015-01-29T20:20:33-05:00,14909
1/29/15,move,cycling,2015-01-29T20:20:33-05:00,2015-01-29T20:32:36-05:00,723
1/29/15,place,Place in Gainesville,2015-01-29T20:32:36-05:00,2015-01-30T00:00:00-05:00,12444
1/30/15,place,Place in Gainesville,2015-01-30T00:00:00-05:00,2015-01-30T09:17:15-05:00,33435
1/30/15,move,cycling,2015-01-30T09:17:15-05:00,2015-01-30T09:26:43-05:00,568
1/30/15,place,Place in University of Florida,2015-01-30T09:26:43-05:00,2015-01-30T12:37:11-05:00,11428
1/30/15,move,cycling,2015-01-30T12:37:11-05:00,2015-01-30T12:53:18-05:00,967
1/30/15,place,Place in Gainesville,2015-01-30T12:53:17-05:00,2015-01-30T13:34:27-05:00,2470
1/30/15,move,walking,2015-01-30T13:34:28-05:00,2015-01-30T13:37:59-05:00,211
1/30/15,move,transport,2015-01-30T13:37:58-05:00,2015-01-30T13:40:56-05:00,178
1/30/15,place,Place in Lincoln Estates,2015-01-30T13:40:56-05:00,2015-01-30T13:48:49-05:00,473
1/30/15,move,transport,2015-01-30T13:48:49-05:00,2015-01-30T13:49:30-05:00,41
1/30/15,place,Place in Gainesville,2015-01-30T13:49:30-05:00,2015-01-30T17:09:36-05:00,12006
1/30/15,move,cycling,2015-01-30T17:09:36-05:00,2015-01-30T17:22:59-05:00,803
1/30/15,place,Place in Gainesville,2015-01-30T17:22:59-05:00,2015-01-30T21:42:28-05:00,15569
1/30/15,move,walking,2015-01-30T21:42:28-05:00,2015-01-30T22:11:33-05:00,1745
1/30/15,place,Place in Gainesville,2015-01-30T22:11:32-05:00,2015-01-31T00:00:00-05:00,6508
1/31/15,place,Place in Gainesville,2015-01-31T00:00:00-05:00,2015-01-31T15:13:35-05:00,54815
1/31/15,move,walking,2015-01-31T15:13:35-05:00,2015-01-31T15:19:12-05:00,337
1/31/15,place,Place in Gainesville,2015-01-31T15:19:13-05:00,2015-01-31T15:49:39-05:00,1826
1/31/15,move,walking,2015-01-31T15:49:39-05:00,2015-01-31T15:54:24-05:00,285
1/31/15,place,Place in Gainesville,2015-01-31T15:54:23-05:00,2015-01-31T16:01:11-05:00,408
1/31/15,move,walking,2015-01-31T16:01:11-05:00,2015-01-31T16:07:57-05:00,406
1/31/15,place,Place in Gainesville,2015-01-31T16:07:57-05:00,2015-01-31T18:14:57-05:00,7620
1/31/15,move,walking,2015-01-31T18:14:57-05:00,2015-01-31T18:24:12-05:00,555
1/31/15,place,Place in Gainesville,2015-01-31T18:24:11-05:00,2015-01-31T19:41:37-05:00,4646
1/31/15,move,transport,2015-01-31T19:41:37-05:00,2015-01-31T19:44:47-05:00,190
1/31/15,place,Place in Gainesville,2015-01-31T19:44:47-05:00,2015-01-31T19:55:42-05:00,655
1/31/15,move,transport,2015-01-31T19:55:42-05:00,2015-01-31T19:57:24-05:00,102
1/31/15,place,Place in Gainesville,2015-01-31T19:57:25-05:00,2015-02-01T00:00:00-05:00,14555
2/1/15,place,Place in Gainesville,2015-02-01T00:00:00-05:00,2015-02-01T10:15:19-05:00,36919
2/1/15,move,walking,2015-02-01T10:15:19-05:00,2015-02-01T10:32:31-05:00,1032
2/1/15,place,Place in Gainesville,2015-02-01T10:32:30-05:00,2015-02-01T12:28:05-05:00,6935
2/1/15,move,walking,2015-02-01T12:28:05-05:00,2015-02-01T12:39:05-05:00,660
2/1/15,place,Place in Gainesville,2015-02-01T12:39:05-05:00,2015-02-01T14:54:36-05:00,8131
2/1/15,move,cycling,2015-02-01T14:54:36-05:00,2015-02-01T14:58:55-05:00,259
2/1/15,place,Place in Gainesville,2015-02-01T14:58:54-05:00,2015-02-01T15:38:16-05:00,2362
2/1/15,move,transport,2015-02-01T15:38:16-05:00,2015-02-01T15:42:23-05:00,247
2/1/15,place,Place in Gainesville,2015-02-01T15:42:23-05:00,2015-02-01T18:52:38-05:00,11415
2/1/15,move,walking,2015-02-01T18:52:38-05:00,2015-02-01T19:00:19-05:00,461
2/1/15,place,Place in Gainesville,2015-02-01T19:00:18-05:00,2015-02-01T19:03:46-05:00,208
2/1/15,move,walking,2015-02-01T19:03:46-05:00,2015-02-01T20:14:14-05:00,4228
2/1/15,place,Place in Gainesville,2015-02-01T20:14:14-05:00,2015-02-01T20:20:04-05:00,350
2/1/15,move,transport,2015-02-01T20:20:04-05:00,2015-02-01T20:29:39-05:00,575
2/1/15,place,Place in Gainesville,2015-02-01T20:29:39-05:00,2015-02-01T21:14:05-05:00,2666
2/1/15,move,transport,2015-02-01T21:14:05-05:00,2015-02-01T21:24:22-05:00,617
2/1/15,move,walking,2015-02-01T21:24:22-05:00,2015-02-01T22:21:20-05:00,3418
2/1/15,place,Place in Gainesville,2015-02-01T22:21:20-05:00,2015-02-01T22:37:38-05:00,978
2/1/15,move,walking,2015-02-01T22:37:38-05:00,2015-02-01T22:43:38-05:00,360
2/1/15,place,Place in Gainesville,2015-02-01T22:53:42-05:00,2015-02-02T00:00:00-05:00,3978
