Date,Activity,Group,Duration,Distance,Steps,Calories
2/9/15,walking,walking,3125,2.236,4489,0
2/9/15,running,running,334,0.413,826,0
2/9/15,cycling,cycling,1406,3.923,0,0
2/10/15,walking,walking,2113,1.461,3056,0
2/10/15,cycling,cycling,997,3.866,0,0
2/10/15,transport,transport,386,1.518,0,0
2/11/15,walking,walking,4215,2.345,4309,0
2/12/15,walking,walking,725,0.308,792,0
2/12/15,cycling,cycling,1266,4.678,0,0
2/12/15,transport,transport,129,0.603,0,0
2/13/15,walking,walking,2247,1.258,2945,0
2/13/15,cycling,cycling,1981,5.419,0,0
2/14/15,walking,walking,5048,3.075,7022,0
2/14/15,cycling,cycling,353,1.174,0,0
2/15/15,walking,walking,1298,0.703,1830,0
2/15/15,transport,transport,1031,1.614,0,0
2/15/15,cycling,cycling,163,0.408,0,0
