Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/25/15,walking,walking,2015-01-25T10:46:12-05:00,2015-01-25T10:48:50-05:00,158,0.127,272,0
1/25/15,walking,walking,2015-01-25T11:00:00-05:00,2015-01-25T11:04:53-05:00,293,0.155,334,0
1/25/15,walking,walking,2015-01-25T12:46:43-05:00,2015-01-25T12:57:33-05:00,650,0.588,1376,0
1/25/15,walking,walking,2015-01-25T13:13:08-05:00,2015-01-25T13:18:27-05:00,319,0.208,445,0
1/25/15,walking,walking,2015-01-25T13:49:33-05:00,2015-01-25T13:54:31-05:00,298,0.280,637,0
1/25/15,walking,walking,2015-01-25T14:01:12-05:00,2015-01-25T14:03:43-05:00,151,0.119,255,0
1/25/15,walking,walking,2015-01-25T14:04:11-05:00,2015-01-25T14:07:37-05:00,206,0.224,301,0
1/25/15,walking,walking,2015-01-25T14:07:36-05:00,2015-01-25T14:08:36-05:00,60,0.022,71,0
1/25/15,walking,walking,2015-01-25T16:14:09-05:00,2015-01-25T16:37:50-05:00,1421,0.938,2514,0
1/25/15,walking,walking,2015-01-25T16:37:50-05:00,2015-01-25T16:38:24-05:00,34,0.017,54,0
1/25/15,walking,walking,2015-01-25T17:47:39-05:00,2015-01-25T17:49:09-05:00,90,0.035,112,0
1/25/15,walking,walking,2015-01-25T18:03:55-05:00,2015-01-25T18:10:03-05:00,368,0.208,447,0
1/25/15,walking,walking,2015-01-25T19:00:28-05:00,2015-01-25T19:07:01-05:00,393,0.243,521,0
1/25/15,walking,walking,2015-01-25T20:11:03-05:00,2015-01-25T20:13:05-05:00,122,0.075,161,0
1/25/15,walking,walking,2015-01-25T21:04:24-05:00,2015-01-25T21:05:24-05:00,60,0.025,81,0
1/25/15,walking,walking,2015-01-25T22:20:13-05:00,2015-01-25T22:20:43-05:00,30,0.012,41,0
1/26/15,walking,walking,2015-01-26T07:53:31-05:00,2015-01-26T07:56:00-05:00,149,0.070,111,0
1/26/15,walking,walking,2015-01-26T08:57:39-05:00,2015-01-26T08:58:19-05:00,40,0.015,48,0
1/26/15,walking,walking,2015-01-26T09:02:14-05:00,2015-01-26T09:03:21-05:00,67,0.030,97,0
1/26/15,walking,walking,2015-01-26T10:34:09-05:00,2015-01-26T10:36:40-05:00,151,0.070,85,0
1/26/15,walking,walking,2015-01-26T11:32:56-05:00,2015-01-26T11:33:26-05:00,30,0.009,30,0
1/26/15,walking,walking,2015-01-26T14:11:32-05:00,2015-01-26T14:14:59-05:00,207,0.099,214,0
1/26/15,walking,walking,2015-01-26T15:04:03-05:00,2015-01-26T15:05:03-05:00,60,0.021,65,0
1/26/15,cycling,cycling,2015-01-26T16:13:04-05:00,2015-01-26T16:24:38-05:00,694,2.546,0,0
1/26/15,walking,walking,2015-01-26T16:25:39-05:00,2015-01-26T16:28:12-05:00,153,0.096,207,0
1/26/15,walking,walking,2015-01-26T18:34:51-05:00,2015-01-26T18:39:45-05:00,294,0.212,455,0
1/26/15,cycling,cycling,2015-01-26T18:42:19-05:00,2015-01-26T18:55:33-05:00,794,2.623,0,0
1/26/15,walking,walking,2015-01-26T18:57:37-05:00,2015-01-26T18:58:04-05:00,27,0.011,34,0
1/26/15,walking,walking,2015-01-26T20:40:22-05:00,2015-01-26T20:40:50-05:00,28,0.009,27,0
1/26/15,walking,walking,2015-01-26T21:09:04-05:00,2015-01-26T21:09:07-05:00,3,0.001,4,0
1/26/15,walking,walking,2015-01-26T22:16:18-05:00,2015-01-26T22:16:41-05:00,23,0.007,22,0
1/26/15,walking,walking,2015-01-26T23:15:02-05:00,2015-01-26T23:15:32-05:00,30,0.016,51,0
