Date,Activity,Group,Duration,Distance,Steps,Calories
1/25/15,walking,walking,4653,3.277,7622,0
1/26/15,walking,walking,1262,0.665,1450,0
1/26/15,cycling,cycling,1488,5.169,0,0
1/27/15,running,running,260,0.420,634,0
1/27/15,walking,walking,1292,0.704,1666,0
1/27/15,cycling,cycling,3303,9.510,0,0
1/28/15,walking,walking,4117,2.364,4993,0
1/29/15,walking,walking,2801,1.517,3571,0
1/29/15,cycling,cycling,2020,5.837,0,0
1/29/15,transport,transport,198,0.495,0,0
1/30/15,walking,walking,3331,2.046,3962,0
1/30/15,cycling,cycling,2338,8.328,0,0
1/30/15,transport,transport,219,0.582,0,0
1/31/15,walking,walking,3698,2.431,5618,0
1/31/15,transport,transport,292,0.889,0,0
2/1/15,walking,walking,11140,8.133,18425,0
2/1/15,cycling,cycling,259,0.572,0,0
2/1/15,transport,transport,1439,7.383,0,0
2/2/15,walking,walking,6782,3.954,8702,0
2/2/15,running,running,275,0.256,275,0
2/2/15,cycling,cycling,2031,6.026,0,0
2/3/15,walking,walking,3055,1.629,3941,0
2/3/15,running,running,276,0.370,603,0
2/3/15,cycling,cycling,2966,7.547,0,0
2/3/15,transport,transport,13496,2.294,0,0
2/4/15,running,running,280,0.428,714,0
2/4/15,walking,walking,1505,0.893,2060,0
2/4/15,cycling,cycling,1290,4.406,0,0
2/5/15,running,running,295,0.423,537,0
2/5/15,walking,walking,2131,1.210,2746,0
2/5/15,cycling,cycling,2003,6.774,0,0
2/5/15,transport,transport,548,0.853,0,0
2/6/15,walking,walking,5501,4.159,8862,0
2/6/15,running,running,205,0.393,425,0
2/7/15,walking,walking,5452,3.245,7272,0
2/7/15,cycling,cycling,1780,4.562,0,0
2/8/15,walking,walking,6987,4.454,9536,0
2/8/15,transport,transport,75,0.363,0,0
2/9/15,walking,walking,3125,2.236,4489,0
2/9/15,running,running,334,0.413,826,0
2/9/15,cycling,cycling,1406,3.923,0,0
2/10/15,walking,walking,2113,1.461,3056,0
2/10/15,cycling,cycling,997,3.866,0,0
2/10/15,transport,transport,386,1.518,0,0
2/11/15,walking,walking,4215,2.345,4309,0
2/12/15,walking,walking,725,0.308,792,0
2/12/15,cycling,cycling,1266,4.678,0,0
2/12/15,transport,transport,129,0.603,0,0
2/13/15,walking,walking,2247,1.258,2945,0
2/13/15,cycling,cycling,1981,5.419,0,0
2/14/15,walking,walking,5048,3.075,7022,0
2/14/15,cycling,cycling,353,1.174,0,0
2/15/15,walking,walking,1298,0.703,1830,0
2/15/15,transport,transport,1031,1.614,0,0
2/15/15,cycling,cycling,163,0.408,0,0
2/16/15,walking,walking,1486,0.830,2034,0
2/16/15,cycling,cycling,1637,5.423,0,0
2/16/15,transport,transport,558,0.593,0,0
2/17/15,walking,walking,2352,1.424,3446,0
2/17/15,cycling,cycling,2056,5.113,0,0
2/18/15,walking,walking,3113,1.809,4301,0
2/18/15,transport,transport,191,0.562,0,0
2/19/15,walking,walking,1713,0.978,2233,0
2/19/15,transport,transport,13002,166.033,0,0
2/19/15,cycling,cycling,1235,4.593,0,0
2/20/15,walking,walking,208,0.099,193,0
