date,all_cases
2012-01-01,272
2012-01-02,321
2012-01-03,262
2012-01-04,254
2012-01-05,274
2012-01-06,262
2012-01-07,277
2012-01-08,256
2012-01-09,316
2012-01-10,281
2012-01-11,256
2012-01-12,277
2012-01-13,259
2012-01-14,265
2012-01-15,235
2012-01-16,269
2012-01-17,299
2012-01-18,268
2012-01-19,268
2012-01-20,267
2012-01-21,233
2012-01-22,301
2012-01-23,278
2012-01-24,277
2012-01-25,312
2012-01-26,268
2012-01-27,239
2012-01-28,234
2012-01-29,273
2012-01-30,265
2012-01-31,249
2012-02-01,294
2012-02-02,245
2012-02-03,252
2012-02-04,238
2012-02-05,236
2012-02-06,270
2012-02-07,257
2012-02-08,277
2012-02-09,264
2012-02-10,280
2012-02-11,225
2012-02-12,259
2012-02-13,264
2012-02-14,268
2012-02-15,288
2012-02-16,265
2012-02-17,244
2012-02-18,271
2012-02-19,282
2012-02-20,318
2012-02-21,308
2012-02-22,291
2012-02-23,287
2012-02-24,303
2012-02-25,257
2012-02-26,265
2012-02-27,278
2012-02-28,261
2012-02-29,NA
2012-03-01,289
2012-03-02,283
2012-03-03,280
2012-03-04,273
2012-03-05,282
2012-03-06,274
2012-03-07,290
2012-03-08,259
2012-03-09,258
2012-03-10,249
2012-03-11,242
2012-03-12,280
2012-03-13,279
2012-03-14,264
2012-03-15,285
2012-03-16,264
2012-03-17,281
2012-03-18,283
2012-03-19,314
2012-03-20,330
2012-03-21,312
2012-03-22,275
2012-03-23,275
2012-03-24,279
2012-03-25,266
2012-03-26,284
2012-03-27,322
2012-03-28,251
2012-03-29,235
2012-03-30,281
2012-03-31,264
2012-04-01,274
2012-04-02,286
2012-04-03,254
2012-04-04,255
2012-04-05,268
2012-04-06,234
2012-04-07,247
2012-04-08,248
2012-04-09,299
2012-04-10,290
2012-04-11,250
2012-04-12,253
2012-04-13,247
2012-04-14,224
2012-04-15,262
2012-04-16,275
2012-04-17,263
2012-04-18,256
2012-04-19,247
2012-04-20,257
2012-04-21,239
2012-04-22,233
2012-04-23,269
2012-04-24,256
2012-04-25,261
2012-04-26,279
2012-04-27,251
2012-04-28,246
2012-04-29,278
2012-04-30,298
2012-05-01,259
2012-05-02,270
2012-05-03,227
2012-05-04,285
2012-05-05,231
2012-05-06,264
2012-05-07,278
2012-05-08,252
2012-05-09,245
2012-05-10,274
2012-05-11,249
2012-05-12,248
2012-05-13,244
2012-05-14,302
2012-05-15,270
2012-05-16,241
2012-05-17,285
2012-05-18,265
2012-05-19,256
2012-05-20,262
2012-05-21,294
2012-05-22,306
2012-05-23,294
2012-05-24,250
2012-05-25,270
2012-05-26,229
2012-05-27,259
2012-05-28,245
2012-05-29,290
2012-05-30,257
2012-05-31,246
2012-06-01,262
2012-06-02,228
2012-06-03,260
2012-06-04,274
2012-06-05,286
2012-06-06,245
2012-06-07,240
2012-06-08,263
2012-06-09,222
2012-06-10,248
2012-06-11,270
2012-06-12,298
2012-06-13,274
2012-06-14,261
2012-06-15,253
2012-06-16,256
2012-06-17,217
2012-06-18,290
2012-06-19,272
2012-06-20,282
2012-06-21,256
2012-06-22,264
2012-06-23,274
2012-06-24,229
2012-06-25,269
2012-06-26,239
2012-06-27,297
2012-06-28,239
2012-06-29,243
2012-06-30,238
2012-07-01,258
2012-07-02,294
2012-07-03,274
2012-07-04,244
2012-07-05,261
2012-07-06,232
2012-07-07,273
