Australia,  Population size (1-year)     Last modified: 17-Feb-2012, MPv5 (May07)

Year     Age      Female         Male        Total
1921       0      62758.20     65730.83    128489.03
1921       1      57766.36     60210.87    117977.23
1921       2      57014.21     59129.53    116143.74
1921       3      58306.85     60247.27    118554.12
1921       4      58710.89     60781.51    119492.40
1921       5      59875.28     61689.16    121564.44
1921       6      61023.23     62328.52    123351.75
1921       7      59464.59     60767.06    120231.65
1921       8      57745.69     58804.80    116550.49
1921       9      56186.15     57149.96    113336.11
1921      10      54375.85     55994.92    110370.77
1921      11      52722.82     54651.92    107374.74
1921      12      51962.59     53097.71    105060.30
1921      13      51175.16     51999.96    103175.12
1921      14      49233.04     51196.01    100429.05
1921      15      48234.78     50303.81     98538.59
1921      16      46902.96     47964.49     94867.45
1921      17      45550.54     46108.91     91659.45
1921      18      45806.28     46112.92     91919.20
1921      19      46114.24     46176.48     92290.72
1921      20      46766.26     46331.09     93097.35
1921      21      46237.60     44904.40     91142.00
1921      22      45434.47     43297.24     88731.71
1921      23      46194.70     42956.49     89151.19
1921      24      47006.64     43302.21     90308.85
1921      25      47271.02     44161.83     91432.85
1921      26      47575.19     44660.79     92235.98
1921      27      47785.38     45618.26     93403.64
1921      28      47884.35     46373.93     94258.28
1921      29      47144.38     46535.10     93679.48
1921      30      45688.93     46340.64     92029.57
1921      31      44988.04     46596.66     91584.70
1921      32      44341.21     46160.15     90501.36
1921      33      43050.93     44571.66     87622.59
1921      34      41702.12     43270.31     84972.43
1921      35      40808.38     42381.57     83189.95
1921      36      39267.24     41088.73     80355.97
1921      37      37313.66     38996.17     76309.83
1921      38      36204.59     37640.37     73844.96
1921      39      35747.16     37240.87     72988.03
1921      40      35090.70     36744.07     71834.77
1921      41      33442.65     35405.34     68847.99
1921      42      31434.12     33456.88     64891.00
1921      43      30082.38     32014.28     62096.66
1921      44      29229.54     30917.96     60147.50
1921      45      28633.98     30229.23     58863.21
1921      46      27937.46     29637.51     57574.97
1921      47      27194.52     28949.29     56143.81
1921      48      26549.76     28804.26     55354.02
1921      49      26158.07     28915.83     55073.90
1921      50      25618.40     28829.87     54448.27
1921      51      24777.63     27897.02     52674.65
1921      52      23933.37     26661.97     50595.34
1921      53      22743.41     25728.00     48471.41
1921      54      21593.82     25144.70     46738.52
1921      55      21148.08     24963.98     46112.06
1921      56      20705.92     24488.02     45193.94
1921      57      20163.61     23558.77     43722.38
1921      58      19374.85     22531.56     41906.41
1921      59      18433.96     21550.48     39984.44
1921      60      17644.63     20670.01     38314.64
1921      61      16407.37     19235.09     35642.46
1921      62      15208.19     17586.35     32794.54
1921      63      14512.35     16580.79     31093.14
1921      64      13513.84     15571.52     29085.36
1921      65      12165.51     14260.54     26426.05
1921      66      10666.35     12497.58     23163.93
1921      67       9264.94     10680.24     19945.18
1921      68       8363.78      9411.83     17775.61
1921      69       7812.60      8691.93     16504.53
1921      70       7414.53      8129.34     15543.87
1921      71       6870.33      7369.27     14239.60
1921      72       6175.23      6513.02     12688.25
1921      73       5831.67      5810.99     11642.66
1921      74       5439.67      5262.89     10702.56
1921      75       4999.06      4912.72      9911.78
1921      76       4599.45      4562.46      9161.91
1921      77       4147.71      3899.89      8047.60
1921      78       3586.87      3433.20      7020.07
1921      79       3338.55      3150.94      6489.49
1921      80       2915.91      2730.83      5646.74
1921      81       2527.65      2333.72      4861.37
1921      82       2192.20      1976.96      4169.16
