Northern Ireland,  Population size (1-year)     Last modified: 01-May-2013, MPv5 (May07)

Year     Age      Female         Male        Total
1922       0      13999.21     14367.75     28366.96
1922       1      13468.66     13887.44     27356.10
1922       2      12496.81     12967.65     25464.46
1922       3      10804.19     11121.45     21925.64
1922       4      10500.63     10640.79     21141.42
1922       5      10768.04     11045.48     21813.52
1922       6      11478.78     11720.18     23198.96
1922       7      11994.57     12122.36     24116.93
1922       8      12158.76     12228.17     24386.93
1922       9      12184.34     12180.51     24364.85
1922      10      12203.06     12362.52     24565.58
1922      11      12128.63     12237.28     24365.91
1922      12      12067.80     11748.07     23815.87
1922      13      12304.37     11795.64     24100.01
1922      14      12397.49     11861.34     24258.83
1922      15      12088.06     11632.42     23720.48
1922      16      11930.14     11317.62     23247.76
1922      17      11492.91     11078.13     22571.04
1922      18      11392.08     10588.23     21980.31
1922      19      11167.18      9966.12     21133.30
1922      20      11199.84      9738.56     20938.40
1922      21      11497.73     10173.08     21670.81
1922      22      11060.04      9709.24     20769.28
1922      23      10619.39      9117.92     19737.31
1922      24      10683.62      8907.95     19591.57
1922      25      10482.17      8775.50     19257.67
1922      26      10560.64      8796.89     19357.53
1922      27       8494.70      7436.52     15931.22
1922      28       8814.52      7684.28     16498.80
1922      29       8152.77      7127.93     15280.70
1922      30       8512.95      7343.81     15856.76
1922      31       8844.13      7718.62     16562.75
1922      32       8434.98      7108.37     15543.35
1922      33       8163.44      6917.13     15080.57
1922      34       8640.61      7395.73     16036.34
1922      35       8664.04      7475.77     16139.81
1922      36       9188.39      7924.37     17112.76
1922      37       6662.65      5957.09     12619.74
1922      38       7637.77      6553.88     14191.65
1922      39       7082.83      6203.04     13285.87
1922      40       7294.95      6783.82     14078.77
1922      41       8135.54      7657.03     15792.57
1922      42       7418.90      6633.92     14052.82
1922      43       7277.29      6541.90     13819.19
1922      44       7791.68      6973.58     14765.26
1922      45       7973.81      7459.94     15433.75
1922      46       8600.06      8246.58     16846.64
1922      47       5758.86      5672.99     11431.85
1922      48       6729.85      6457.68     13187.53
1922      49       6493.32      6326.74     12820.06
1922      50       6876.70      6650.95     13527.65
1922      51       6780.47      6777.93     13558.40
1922      52       6256.67      6143.36     12400.03
1922      53       5551.48      5261.89     10813.37
1922      54       5918.67      5571.71     11490.38
