Germany,  Births (1-year)     Last modified: 12-Jun-2013, MPv5 (May07)

Year          Female      Male     Total
1990          440296    465379    905675
1991          403921    426098    830019
1992          394307    414807    809114
1993          388376    410071    798447
1994          373734    395869    769603
1995          372492    392729    765221
1996          386800    409213    796013
1997          395167    417006    812173
1998          382169    402865    785034
1999          374448    396296    770744
2000          373676    393323    766999
2001          356889    377586    734475
2002          349973    369277    719250
2003          344012    362709    706721
2004          343605    362017    705622
2005          334038    351757    685795
2006          326908    345816    672724
2007          333023    351839    684862
2008          332652    349862    682514
2009          323887    341249    665136
2010          330710    347237    677947
2011          322805    339907    662712
