Lithuania,  Births (1-year)     Last modified: 05-Jun-2013, MPv5 (May07)

Year          Female      Male     Total
1959           30458     31783     62241
1960           30484     32001     62485
1961           30574     32201     62775
1962           29105     30623     59728
1963           27710     29314     57024
1964           27217     28639     55856
1965           26109     27709     53818
1966           26494     27781     54275
1967           26515     27291     53806
1968           26550     27708     54258
1969           26356     27907     54263
1970           26993     28526     55519
1971           27356     28688     56044
1972           26645     27971     54616
1973           25440     26504     51944
1974           25551     26390     51941
1975           25428     26338     51766
1976           25532     26764     52296
1977           25483     26683     52166
1978           25303     26518     51821
1979           25379     26558     51937
1980           25198     26567     51765
1981           25415     26834     52249
1982           26002     27139     53141
1983           27860     29729     57589
1984           28074     29502     57576
1985           28676     29778     58454
1986           28675     31030     59705
1987           28943     30417     59360
1988           27637     29090     56727
1989           27103     28679     55782
1990           27732     29136     56868
1991           27324     28895     56219
1992           26209     27408     53617
1993           22984     24480     47464
1994           20699     21677     42376
1995           20024     21171     41195
1996           19096     19970     39066
1997           18312     19500     37812
1998           17799     19220     37019
1999           17659     18756     36415
2000           16467     17682     34149
2001           15407     16139     31546
2002           14524     15490     30014
2003           14777     15821     30598
2004           14906     15513     30419
2005           14920     15621     30541
2006           15385     15880     31265
2007           15802     16544     32346
2008           17025     18040     35065
2009           17896     18786     36682
2010           17402     18224     35626
2011           16569     17816     34385
