New Zealand -- Non-Maori,  Births (1-year)     Last modified: 14-Sep-2010, MPv5 (May07)

Year          Female      Male     Total
1901           10020     10471     20491
1902           10002     10653     20655
1903           10612     11217     21829
1904           11004     11762     22766
1905           11573     12109     23682
1906           11855     12397     24252
1907           12259     12835     25094
1908           12571     13369     25940
1909           13022     13502     26524
1910           12542     13442     25984
1911           12822     13532     26354
1912           13512     13996     27508
1913           13502     14433     27935
1914           13803     14535     28338
1915           13435     14415     27850
1916           13840     14669     28509
1917           13910     14329     28239
1918           12736     13124     25860
1919           11896     12587     24483
1920           14487     15434     29921
1921           13991     14576     28567
1922           14109     14897     29006
1923           13436     14531     27967
1924           13719     14295     28014
1925           13635     14518     28153
1926           13824     14649     28473
1927           13590     14291     27881
1928           13118     14082     27200
1929           13102     13645     26747
1930           13084     13713     26797
1931           12856     13766     26622
1932           12060     12824     24884
1933           11915     12419     24334
1934           11768     12554     24322
1935           11649     12316     23965
1936           12229     12608     24837
1937           12769     13245     26014
1938           13320     13929     27249
1939           14128     14705     28833
1940           15954     16817     32771
1941           17097     18003     35100
1942           16332     17242     33574
1943           14583     15728     30311
1944           16394     17205     33599
1945           18057     18950     37007
1946           20339     21532     41871
1947           21918     22898     44816
1948           21576     22617     44193
1949           21255     22733     43988
1950           21632     22677     44309
1951           21583     23068     44651
1952           22655     23814     46469
1953           22592     23822     46414
1954           23458     24973     48431
1955           24205     25664     49869
1956           24416     26014     50430
1957           25310     26542     51852
1958           26095     27679     53774
1959           26669     28070     54739
1960           26969     28466     55435
1961           28152     29554     57706
1962           28058     29405     57463
1963           27412     29136     56548
1964           26413     28091     54504
1965           25298     27025     52323
1966           25495     26845     52340
1967           26096     26989     53085
1968           26311     27775     54086
1969           26462     27797     54259
1970           26232     27694     53926
1971           27380     28716     56096
1972           27070     28275     55345
1973           26035     27308     53343
1974           25523     26830     52353
1975           24409     25452     49861
1976           23370     25109     48479
1977           23052     24342     47394
1978           21820     22629     44449
1979           22311     23314     45625
1980           21474     22648     44122
1981           21469     22720     44189
1982           21247     22475     43722
1983           21580     22623     44203
1984           21856     23035     44891
1985           22070     23259     45329
1986           22753     23557     46310
1987           23237     25035     48272
1988           24680     26099     50779
1989           25063     26061     51124
1990           26056     27150     53206
1991           25794     27174     52968
1992           25051     26882     51933
1993           25030     26624     51654
1994           24495     25776     50271
1995           24301     26132     50433
1996           20183     21293     41476
1997           20261     21042     41303
1998           19408     20709     40117
1999           20059     20979     41038
2000           19800     20954     40754
2001           19695     20265     39960
2002           19180     19970     39150
2003           19721     20756     40477
2004           19180     19970     39150
2005           19721     20756     40477
2006           19721     20756     40477
2007           19180     19970     39150
2008           19721     20756     40477
