Slovenia,  Births (1-year)     Last modified: 01-Dec-2010, MPv5 (May07)

Year          Female      Male     Total
1983           13270     13930     27200
1984           12835     13439     26274
1985           12586     13347     25933
1986           12495     13075     25570
1987           12528     13064     25592
1988           12210     12999     25209
1989           11346     12101     23447
1990           10914     11454     22368
1991           10467     11116     21583
1992            9649     10333     19982
1993            9605     10188     19793
1994            9564      9899     19463
1995            9239      9741     18980
1996            9078      9710     18788
1997            8842      9323     18165
1998            8600      9256     17856
1999            8484      9049     17533
2000            8812      9368     18180
2001            8413      9064     17477
2002            8476      9025     17501
2003            8391      8930     17321
2004            8860      9101     17961
2005            8802      9355     18157
2006            9170      9762     18932
2007            9671     10152     19823
2008           10691     11126     21817
2009           10547     11309     21856
