Australia, Deaths (1x1)     Last modified: 17-Feb-2012, MPv5 (May07)

Year     Age        Female             Male            Total
1921      0           3842.32          5137.58          8979.90
1921      1            585.66           702.88          1288.54
1921      2            390.48           470.46           860.94
1921      3            253.78           304.40           558.18
1921      4            175.56           204.71           380.27
1921      5            146.33           161.42           307.75
1921      6            128.24           134.69           262.93
1921      7            111.79           114.53           226.32
1921      8             96.99           100.96           197.95
1921      9             83.84            93.98           177.82
1921     10             72.78            92.51           165.29
1921     11             65.60            92.39           157.99
1921     12             62.71            92.55           155.26
1921     13             64.14            93.01           157.15
1921     14             69.88            93.75           163.63
1921     15             79.06            95.03           174.09
1921     16             88.23            97.85           186.08
1921     17             96.51           102.47           198.98
1921     18            103.91           108.90           212.81
1921     19            110.43           117.12           227.55
1921     20            116.45           126.63           243.08
1921     21            123.52           135.37           258.89
1921     22            132.01           142.85           274.86
1921     23            141.94           149.05           290.99
1921     24            153.29           153.97           307.26
1921     25            165.33           157.95           323.28
1921     26            175.11           162.30           337.41
1921     27            181.87           167.35           349.22
1921     28            185.62           173.09           358.71
1921     29            186.37           179.53           365.90
1921     30            184.94           186.56           371.50
1921     31            184.69           193.76           378.45
1921     32            186.45           201.05           387.50
1921     33            190.23           208.42           398.65
1921     34            196.02           215.86           411.88
1921     35            202.91           223.14           426.05
1921     36            207.31           229.32           436.63
1921     37            208.28           234.15           442.43
1921     38            205.85           237.65           443.50
1921     39            200.01           239.81           439.82
1921     40            191.70           241.15           432.85
1921     41            184.71           243.74           428.45
1921     42            180.00           248.09           428.09
1921     43            177.54           254.22           431.76
1921     44            177.36           262.10           439.46
1921     45            179.32           271.50           450.82
1921     46            182.90           281.35           464.25
1921     47            187.97           291.38           479.35
1921     48            194.54           301.60           496.14
1921     49            202.59           312.02           514.61
1921     50            211.72           322.90           534.62
1921     51            220.23           335.40           555.63
1921     52            227.71           349.82           577.53
1921     53            234.16           366.15           600.31
1921     54            239.57           384.37           623.94
1921     55            244.36           404.27           648.63
1921     56            250.23           424.82           675.05
1921     57            257.60           445.77           703.37
1921     58            266.45           467.14           733.59
1921     59            276.80           488.90           765.70
1921     60            287.98           509.80           797.78
1921     61            297.38           524.73           822.11
1921     62            304.34           532.42           836.76
1921     63            308.86           532.89           841.75
1921     64            310.95           526.11           837.06
1921     65            311.05           513.20           824.25
1921     66            310.94           498.51           809.45
1921     67            311.07           483.15           794.22
1921     68            311.43           467.12           778.55
1921     69            312.04           450.41           762.45
1921     70            313.18           433.91           747.09
1921     71            315.98           421.16           737.14
1921     72            320.75           413.07           733.82
1921     73            327.48           409.60           737.08
1921     74            336.16           410.77           746.93
1921     75            345.51           414.73           760.24
1921     76            350.34           413.96           764.30
1921     77            349.34           406.63           755.97
1921     78            342.52           392.72           735.24
1921     79            329.89           372.23           702.12
1921     80            312.21           346.30           658.51
1921     81            292.61           319.39           612.00
1921     82            271.85           292.62           564.47
1921     83            249.93           266.01           515.94
1921     84            226.87           239.55           466.42
1921     85            206.79           206.51           413.30
1921     86            183.54           181.61           365.15
1921     87            160.45           157.75           318.20
1921     88            138.04           135.27           273.31
1921     89            116.78           114.44           231.22
1921     90             97.07            95.48           192.55
1921     91             79.21            78.51           157.72
1921     92             63.42            63.59           127.01
1921     93             49.77            50.71           100.48
1921     94             38.27            39.78            78.05
1921     95             28.80            30.70            59.50
1921     96             21.22            23.28            44.50
1921     97             15.28            17.36            32.64
1921     98             10.75            12.71            23.46
1921     99              7.39             9.13            16.52
1921    100              4.97             6.44            11.41
1921    101              3.26             4.46             7.72
1921    102              2.08             3.04             5.12
1921    103              1.30             2.01             3.31
1921    104              0.80             1.32             2.12
1921    105              0.27             0.84             1.11
1921    106              0.00             0.30             0.30
1921    107              0.00             0.00             0.00
1921    108              0.00             0.00             0.00
1921    109              0.00             0.00             0.00
1921    110+             0.00             0.00             0.00
1922      0           2976.02          4290.87          7266.89
1922      1            448.85           546.57           995.42
1922      2            299.44           364.37           663.81
1922      3            194.48           236.85           431.33
1922      4            133.97           164.01           297.98
1922      5            110.93           137.14           248.07
1922      6             97.39           121.42           218.81
1922      7             86.36           108.12           194.48
1922      8             77.83            97.26           175.09
1922      9             71.80            88.83           160.63
1922     10             68.03            82.91           150.94
1922     11             65.53            79.87           145.40
1922     12             64.03            79.77           143.80
1922     13             63.55            82.61           146.16
1922     14             64.07            88.41           152.48
1922     15             65.83            96.43           162.26
1922     16             69.71           103.84           173.55
1922     17             75.92           109.89           185.81
1922     18             84.46           114.60           199.06
1922     19             95.35           117.98           213.33
1922     20            107.86           120.44           228.30
1922     21            119.18           123.79           242.97
1922     22            128.59           128.46           257.05
1922     23            136.09           134.45           270.54
1922     24            141.69           141.75           283.44
1922     25            145.74           149.88           295.62
1922     26            149.67           156.83           306.50
1922     27            153.86           162.10           315.96
1922     28            158.29           165.69           323.98
1922     29            162.97           167.60           330.57
1922     30            167.74           168.43           336.17
1922     31            172.00           170.55           342.55
1922     32            175.59           174.55           350.14
1922     33            178.50           180.45           358.95
1922     34            180.75           188.24           368.99
1922     35            182.26           197.24           379.50
1922     36            182.76           204.79           387.55
1922     37            182.20           210.21           392.41
1922     38            180.56           213.51           394.07
1922     39            177.85           214.69           392.54
1922     40            174.48           214.67           389.15
