Germany,  Population size (1-year)     Last modified: 12-Jun-2013, MPv5 (May07)

Year     Age      Female         Male        Total
1990       0     430094.00    452181.00    882275.00
1990       1     440571.00    464885.00    905456.00
1990       2     428680.00    453787.00    882467.00
1990       3     422693.00    444026.00    866719.00
1990       4     407238.00    428463.00    835701.00
1990       5     405343.00    427354.00    832697.00
1990       6     409508.00    431113.00    840621.00
1990       7     420755.00    443581.00    864336.00
1990       8     420332.00    440984.00    861316.00
1990       9     423336.00    444249.00    867585.00
1990      10     399542.00    420914.00    820456.00
1990      11     394032.00    416076.00    810108.00
1990      12     391378.00    413524.00    804902.00
1990      13     386146.00    406888.00    793034.00
1990      14     374329.00    396547.00    770876.00
1990      15     384656.00    406526.00    791182.00
1990      16     394009.00    416223.00    810232.00
1990      17     440150.00    463936.00    904086.00
1990      18     499091.00    525863.00   1024954.00
1990      19     529814.00    554818.00   1084632.00
1990      20     583297.00    609401.00   1192698.00
1990      21     619050.00    646944.00   1265994.00
1990      22     642623.00    673768.00   1316391.00
1990      23     665047.00    701684.00   1366731.00
1990      24     669338.00    713380.00   1382718.00
1990      25     685105.00    731725.00   1416830.00
1990      26     682282.00    729705.00   1411987.00
1990      27     663477.00    706362.00   1369839.00
1990      28     658457.00    695419.00   1353876.00
1990      29     639610.00    675522.00   1315132.00
1990      30     621617.00    658735.00   1280352.00
1990      31     590547.00    627466.00   1218013.00
1990      32     582653.00    618474.00   1201127.00
1990      33     572262.00    604864.00   1177126.00
1990      34     558653.00    587239.00   1145892.00
1990      35     557122.00    578215.00   1135337.00
1990      36     547396.00    562964.00   1110360.00
1990      37     551704.00    566519.00   1118223.00
1990      38     543301.00    558583.00   1101884.00
1990      39     551144.00    568401.00   1119545.00
1990      40     533123.00    555671.00   1088794.00
1990      41     493758.00    517830.00   1011588.00
1990      42     469578.00    491285.00    960863.00
1990      43     416526.00    436507.00    853033.00
1990      44     375426.00    388254.00    763680.00
1990      45     502908.00    521797.00   1024705.00
1990      46     512241.00    536295.00   1048536.00
1990      47     499014.00    522756.00   1021770.00
1990      48     608397.00    633784.00   1242181.00
1990      49     647488.00    672543.00   1320031.00
1990      50     640074.00    662296.00   1302370.00
1990      51     601349.00    620459.00   1221808.00
1990      52     566683.00    582338.00   1149021.00
1990      53     560458.00    570929.00   1131387.00
