West Germany,  Population size (1-year)     Last modified: 03-Jun-2013, MPv5 (May07)

Year     Age      Female         Male        Total
1956       0     384435.00    406290.00    790725.00
1956       1     381337.00    402118.00    783455.00
1956       2     371673.00    390599.00    762272.00
1956       3     372874.00    394067.00    766941.00
1956       4     371061.00    389856.00    760917.00
1956       5     374375.00    394534.00    768909.00
1956       6     379055.00    398611.00    777666.00
1956       7     361156.00    380596.00    741752.00
1956       8     340395.00    356050.00    696445.00
1956       9     317323.00    331179.00    648502.00
1956      10     270929.00    279189.00    550118.00
1956      11     365674.00    379934.00    745608.00
1956      12     375547.00    392047.00    767594.00
1956      13     367881.00    383403.00    751284.00
1956      14     452274.00    471983.00    924257.00
1956      15     493909.00    512768.00   1006677.00
1956      16     490708.00    507816.00    998524.00
1956      17     462153.00    479753.00    941906.00
1956      18     438070.00    458521.00    896591.00
1956      19     439918.00    461492.00    901410.00
1956      20     433097.00    457454.00    890551.00
1956      21     412101.00    434316.00    846417.00
1956      22     335279.00    352167.00    687446.00
1956      23     343643.00    359328.00    702971.00
1956      24     354255.00    371388.00    725643.00
1956      25     384919.00    403889.00    788808.00
1956      26     380048.00    396888.00    776936.00
1956      27     388826.00    408369.00    797195.00
1956      28     380157.00    369718.00    749875.00
1956      29     398142.00    350589.00    748731.00
1956      30     424223.00    347546.00    771769.00
1956      31     414266.00    307857.00    722123.00
1956      32     417478.00    306276.00    723754.00
1956      33     440178.00    328912.00    769090.00
1956      34     465131.00    342254.00    807385.00
1956      35     476023.00    343263.00    819286.00
1956      36     363700.00    266114.00    629814.00
1956      37     247522.00    181821.00    429343.00
1956      38     236607.00    176502.00    413109.00
1956      39     263221.00    194898.00    458119.00
1956      40     350159.00    257051.00    607210.00
1956      41     447684.00    326894.00    774578.00
1956      42     453213.00    343399.00    796612.00
1956      43     464764.00    358853.00    823617.00
1956      44     442343.00    344684.00    787027.00
1956      45     462740.00    358476.00    821216.00
1956      46     469847.00    372854.00    842701.00
1956      47     467374.00    373722.00    841096.00
1956      48     452340.00    376215.00    828555.00
1956      49     447733.00    371267.00    819000.00
1956      50     431272.00    385593.00    816865.00
1956      51     428237.00    383489.00    811726.00
1956      52     409474.00    366288.00    775762.00
1956      53     415543.00    370683.00    786226.00
1956      54     401921.00    359315.00    761236.00
1956      55     387801.00    344405.00    732206.00
1956      56     375618.00    318574.00    694192.00
1956      57     371403.00    296057.00    667460.00
1956      58     352879.00    270421.00    623300.00
1956      59     352382.00    258719.00    611101.00
1956      60     333237.00    237907.00    571144.00
1956      61     319210.00    223197.00    542407.00
1956      62     309601.00    215861.00    525462.00
1956      63     291270.00    205481.00    496751.00
1956      64     282883.00    201527.00    484410.00
1956      65     266626.00    190183.00    456809.00
1956      66     260704.00    186411.00    447115.00
1956      67     246116.00    179048.00    425164.00
1956      68     234329.00    172660.00    406989.00
1956      69     218819.00    161080.00    379899.00
1956      70     209350.00    156270.00    365620.00
1956      71     194729.00    147134.00    341863.00
1956      72     178737.00    135419.00    314156.00
1956      73     169039.00    129373.00    298412.00
1956      74     153859.00    119146.00    273005.00
1956      75     144476.00    110062.00    254538.00
1956      76     131553.00    102239.00    233792.00
1956      77     121041.00     93307.00    214348.00
1956      78     105153.00     83009.00    188162.00
1956      79      93940.00     73503.00    167443.00
1956      80      82286.26     64050.93    146337.19
1956      81      68855.07     53520.51    122375.58
1956      82      56685.89     43060.06     99745.95
1956      83      45557.71     34618.69     80176.40
1956      84      32253.51     24050.21     56303.72
1956      85      28340.45     20611.60     48952.05
1956      86      22766.37     15876.29     38642.66
1956      87      16231.26     11003.59     27234.85
1956      88      12131.19      7980.43     20111.62
1956      89       9462.15      5844.32     15306.47
1956      90       6238.10      3833.22     10071.32
1956      91       4447.07      2567.15      7014.22
1956      92       3084.05      1662.10      4746.15
1956      93       1857.03      1032.06      2889.09
1956      94       1205.69       614.81      1820.50
1956      95        814.50       377.77      1192.27
1956      96        434.14       221.94       656.08
1956      97        241.07       109.86       350.93
1956      98        138.33        53.53       191.86
1956      99         70.56        31.83       102.39
1956     100         30.63        10.55        41.18
1956     101         17.82         5.98        23.80
1956     102          8.35         3.31        11.66
1956     103          3.65         1.18         4.83
1956     104          1.31         0.33         1.64
1956     105          0.00         0.00         0.00
1956     106          0.00         0.00         0.00
1956     107          0.00         0.00         0.00
1956     108          0.00         0.00         0.00
1956     109          0.00         0.00         0.00
1956     110+         0.00         0.00         0.00
1957       0     399696.00    418894.00    818590.00
1957       1     379047.00    396928.00    775975.00
1957       2     378345.00    394534.00    772879.00
1957       3     369272.00    384402.00    753674.00
