United Kingdom,  Population size (1-year)     Last modified: 06-May-2013, MPv5 (May07)

Year     Age      Female         Male        Total
1922       0     458594.68    472940.02    931534.70
1922       1     460633.40    473678.04    934311.44
1922       2     401326.18    412268.59    813594.77
1922       3     319833.48    325747.67    645581.15
1922       4     334615.38    339592.87    674208.25
1922       5     367212.35    373582.03    740794.38
1922       6     394600.98    399008.09    793609.07
1922       7     416310.82    417547.05    833857.87
1922       8     420849.71    421929.70    842779.41
1922       9     416412.04    420307.07    836719.11
1922      10     414344.59    419268.00    833612.59
1922      11     419075.93    422502.48    841578.41
1922      12     426172.86    428924.44    855097.30
1922      13     431286.45    432719.88    864006.33
1922      14     428343.09    428772.20    857115.29
1922      15     421489.33    421384.17    842873.50
1922      16     418896.73    416583.32    835480.05
1922      17     414574.68    406945.34    821520.02
1922      18     411749.66    399001.18    810750.84
1922      19     410752.24    391881.12    802633.36
1922      20     404251.56    373983.20    778234.76
1922      21     402879.53    362049.62    764929.15
1922      22     397681.06    345560.86    743241.92
1922      23     390289.48    327150.51    717439.99
1922      24     390816.48    321254.79    712071.27
1922      25     386375.65    315638.87    702014.52
1922      26     381012.61    312797.36    693809.97
1922      27     373942.41    310284.28    684226.69
1922      28     370717.96    308815.85    679533.81
1922      29     366516.41    306618.84    673135.25
1922      30     366860.23    306017.71    672877.94
1922      31     356070.52    298615.73    654686.25
1922      32     340826.60    289310.65    630137.25
1922      33     345985.17    293398.36    639383.53
1922      34     340567.66    290133.29    630700.95
1922      35     339262.64    288558.58    627821.22
1922      36     340062.36    291219.99    631282.35
1922      37     331149.74    286961.28    618111.02
1922      38     333924.38    288354.12    622278.50
1922      39     337735.97    293861.41    631597.38
1922      40     337585.98    297116.60    634702.58
1922      41     326222.53    288961.11    615183.64
1922      42     310800.37    277243.12    588043.49
1922      43     313645.20    277738.72    591383.92
1922      44     301844.42    270972.35    572816.77
1922      45     300486.95    274841.23    575328.18
1922      46     295690.48    275183.80    570874.28
1922      47     280306.80    264345.22    544652.02
1922      48     281207.20    264347.40    545554.60
1922      49     277040.65    259355.48    536396.13
1922      50     272168.47    253862.96    526031.43
1922      51     254280.22    238769.64    493049.86
1922      52     231981.30    220626.82    452608.12
1922      53     231919.79    216059.93    447979.72
1922      54     224290.88    207480.46    431771.34
1922      55     214580.59    197604.25    412184.84
1922      56     205683.23    191018.27    396701.50
1922      57     196896.48    183057.90    379954.38
1922      58     192286.62    175695.34    367981.96
1922      59     186696.95    169065.82    355762.77
1922      60     181882.50    163065.72    344948.22
1922      61     170973.77    152930.50    323904.27
