Japan,  Population size (1-year)     Last modified: 12-Mar-2014, MPv5 (May07)

Year     Age      Female         Male        Total
1947       0     909244.58    946259.56   1855504.14
1947       1     811230.44    830546.75   1641777.19
1947       2     951224.10    970266.76   1921490.86
1947       3     971196.67    992172.12   1963368.79
1947       4     982149.12   1007528.58   1989677.70
1947       5     980497.60   1002713.53   1983211.13
1947       6     910928.69    928529.86   1839458.55
1947       7     811680.19    827732.89   1639413.08
1947       8     825624.98    842016.04   1667641.02
1947       9     868800.61    890309.68   1759110.29
1947      10     893089.67    910106.77   1803196.44
1947      11     875546.05    890650.18   1766196.23
1947      12     847000.12    862270.59   1709270.71
1947      13     853545.25    869573.73   1723118.98
1947      14     855050.86    870076.16   1725127.02
1947      15     845786.03    861456.71   1707242.74
1947      16     821369.68    833074.15   1654443.83
1947      17     809889.00    810324.50   1620213.50
1947      18     797074.08    785071.41   1582145.49
1947      19     781641.44    779166.57   1560808.01
1947      20     772789.92    752135.97   1524925.89
1947      21     758460.81    702156.94   1460617.75
1947      22     717471.79    629071.46   1346543.25
1947      23     694667.63    556634.89   1251302.52
1947      24     676068.91    514405.76   1190474.67
1947      25     648240.61    487457.54   1135698.15
1947      26     657973.74    502252.74   1160226.48
1947      27     574492.78    459185.14   1033677.92
1947      28     554316.83    453180.68   1007497.51
1947      29     557721.28    464721.12   1022442.40
1947      30     561403.82    477075.92   1038479.74
1947      31     553797.46    471005.67   1024803.13
1947      32     557573.95    480040.91   1037614.86
1947      33     540897.32    473144.78   1014042.10
1947      34     533555.83    466109.48    999665.31
1947      35     530241.33    469440.12    999681.45
1947      36     514512.00    468391.06    982903.06
1947      37     503180.37    466071.90    969252.27
1947      38     484879.32    456036.65    940915.97
1947      39     465525.30    454583.12    920108.42
1947      40     412533.42    420432.62    832966.04
1947      41     409845.60    413008.20    822853.80
1947      42     401365.83    407363.64    808729.47
1947      43     410962.71    419189.88    830152.59
1947      44     412170.41    422802.89    834973.30
1947      45     402800.22    417746.21    820546.43
1947      46     386027.69    398736.15    784763.84
1947      47     359381.25    373413.55    732794.80
1947      48     355263.56    369015.31    724278.87
1947      49     334088.73    351929.83    686018.56
1947      50     322457.34    337903.92    660361.26
1947      51     316609.98    332872.50    649482.48
1947      52     302270.40    313940.55    616210.95
1947      53     285494.96    294029.71    579524.67
1947      54     282047.61    289662.42    571710.03
1947      55     259218.33    263163.74    522382.07
1947      56     265737.84    263956.25    529694.09
1947      57     274668.83    272027.04    546695.87
1947      58     264634.81    257444.85    522079.66
1947      59     249924.41    239833.03    489757.44
1947      60     224435.11    210052.71    434487.82
1947      61     221708.16    202569.30    424277.46
1947      62     225737.15    198788.75    424525.90
1947      63     221480.87    189375.04    410855.91
1947      64     213803.08    179670.24    393473.32
1947      65     212080.93    176477.83    388558.76
1947      66     195703.54    160071.94    355775.48
1947      67     188564.75    151503.99    340068.74
1947      68     182011.81    142662.03    324673.84
1947      69     167429.27    129162.87    296592.14
1947      70     162478.19    123329.46    285807.65
1947      71     145214.87    106351.37    251566.24
1947      72     129379.07     92571.50    221950.57
1947      73     118624.52     82418.60    201043.12
1947      74     102237.95     69830.84    172068.79
1947      75      83142.47     55811.66    138954.13
1947      76      69463.56     44770.06    114233.62
1947      77      61802.57     38694.54    100497.11
1947      78      60719.48     37103.83     97823.31
1947      79      49057.72     29110.53     78168.25
1947      80      41752.52     23629.18     65381.70
1947      81      39650.61     21085.54     60736.15
1947      82      30555.80     16007.36     46563.16
1947      83      21558.26     11040.97     32599.23
1947      84      15828.49      7570.32     23398.81
1947      85      11862.35      5620.32     17482.67
1947      86      10328.03      4871.03     15199.06
1947      87       7883.23      3464.23     11347.46
1947      88       6048.58      2773.84      8822.42
1947      89       4509.03      1913.31      6422.34
1947      90       3227.51      1308.94      4536.45
1947      91       2179.03       842.61      3021.64
1947      92       1546.78       568.42      2115.20
1947      93        933.49       367.26      1300.75
1947      94        622.33       254.22       876.55
1947      95        336.18       138.11       474.29
1947      96        229.12        92.07       321.19
1947      97        153.09        65.04       218.13
1947      98         88.05        50.04       138.09
1947      99         32.01        24.02        56.03
1947     100         27.01        12.01        39.02
1947     101         14.00         3.00        17.00
1947     102          8.00         7.00        15.00
1947     103          8.00         0.00         8.00
1947     104          3.00         2.00         5.00
1947     105          3.00         3.00         6.00
1947     106          1.00         2.00         3.00
1947     107          1.00         1.00         2.00
1947     108          2.00         0.00         2.00
1947     109          1.00         1.00         2.00
1947     110+        11.00         6.00        17.00
1948       0    1247531.75   1309152.48   2556684.23
1948       1     864272.89    897155.28   1761428.17
1948       2     794318.26    814485.74   1608804.00
1948       3     938967.32    959643.65   1898610.97
1948       4     962087.38    983827.02   1945914.40
1948       5     975208.33   1000719.92   1975928.25
1948       6     974775.60    998390.66   1973166.26
1948       7     906986.19    926205.62   1833191.81
1948       8     808134.84    824906.57   1633041.41
1948       9     824920.60    841041.65   1665962.25
1948      10     868637.04    889479.10   1758116.14
1948      11     891367.16    909740.46   1801107.62
1948      12     873454.22    889459.07   1762913.29
1948      13     846321.04    861700.44   1708021.48
1948      14     851892.60    867453.81   1719346.41
1948      15     852440.95    867052.55   1719493.50
1948      16     842530.04    856261.60   1698791.64
1948      17     816702.02    826332.15   1643034.17
1948      18     803723.09    803095.34   1606818.43
1948      19     790414.85    779009.68   1569424.53
1948      20     775852.99    770454.10   1546307.09
1948      21     767716.09    745644.72   1513360.81
1948      22     750126.81    696023.42   1446150.23
1948      23     709729.03    625572.30   1335301.33
1948      24     687485.07    554757.74   1242242.81
1948      25     668658.19    511894.45   1180552.64
1948      26     641707.01    485694.03   1127401.04
1948      27     652899.37    501640.39   1154539.76
1948      28     569523.27    456384.51   1025907.78
1948      29     549586.48    450513.97   1000100.45
1948      30     553770.19    462146.91   1015917.10
1948      31     558516.22    475214.93   1033731.15
1948      32     550079.57    470198.59   1020278.16
1948      33     553977.32    479213.57   1033190.89
1948      34     538181.10    472266.53   1010447.63
1948      35     532502.37    466806.07    999308.44
1948      36     525332.03    466554.54    991886.57
1948      37     508497.76    464218.27    972716.03
1948      38     498700.04    462278.00    960978.04
1948      39     480353.16    452527.62    932880.78
1948      40     462085.03    450396.03    912481.06
1948      41     408220.62    414403.65    822624.27
1948      42     406436.10    408346.80    814782.90
1948      43     397746.57    403251.66    800998.23
1948      44     407441.48    414749.72    822191.20
1948      45     408849.76    418186.08    827035.84
1948      46     398804.74    411985.61    810790.35
1948      47     381026.42    392140.48    773166.90
1948      48     353657.19    366881.47    720538.66
1948      49     350826.24    363179.69    714005.93
1948      50     331063.41    346750.36    677813.77
1948      51     319521.89    332408.95    651930.84
1948      52     312856.92    325894.36    638751.28
1948      53     298020.63    307695.11    605715.74
