New Zealand,  Population size (1-year)     Last modified: 06-Jul-2010, MPv5 (May07)

Year     Age      Female         Male        Total
1948       0      23375.56     24375.40     47750.96
1948       1      21922.90     22873.04     44795.94
1948       2      19588.36     20398.49     39986.85
1948       3      17547.21     18337.01     35884.22
1948       4      16675.15     17420.47     34095.62
1948       5      17098.63     17618.96     34717.59
1948       6      17555.12     17989.97     35545.09
1948       7      16876.74     17336.79     34213.53
1948       8      15616.68     15976.93     31593.61
1948       9      14601.10     14861.12     29462.22
1948      10      13875.86     14160.77     28036.63
1948      11      13285.78     13670.52     26956.30
1948      12      12815.53     13380.25     26195.78
1948      13      12629.97     13255.10     25885.07
1948      14      12704.79     13234.93     25939.72
1948      15      12969.45     13464.36     26433.81
1948      16      13389.40     13879.45     27268.85
1948      17      13624.93     14040.03     27664.96
1948      18      13575.18     14024.93     27600.11
1948      19      13554.85     14114.77     27669.62
1948      20      13734.66     14124.99     27859.65
1948      21      13929.81     13975.51     27905.32
1948      22      14029.86     13826.33     27856.19
1948      23      14079.95     13691.10     27771.05
1948      24      14199.70     13695.18     27894.88
1948      25      14414.71     13775.23     28189.94
1948      26      14624.71     13825.04     28449.75
1948      27      14380.99     13605.89     27986.88
1948      28      13541.34     12966.11     26507.45
1948      29      13229.51     12769.64     25999.15
1948      30      13634.38     13194.36     26828.74
1948      31      13949.78     13574.74     27524.52
1948      32      14000.14     13759.92     27760.06
1948      33      13825.37     13820.08     27645.45
1948      34      13625.23     13720.30     27345.53
1948      35      13385.45     13540.30     26925.75
1948      36      13135.29     13459.97     26595.26
1948      37      13030.03     13450.11     26480.14
1948      38      12850.44     13280.41     26130.85
1948      39      12505.48     13000.36     25505.84
1948      40      12220.27     12735.37     24955.64
1948      41      12025.21     12535.21     24560.42
1948      42      11660.77     12220.66     23881.43
1948      43      11085.81     11685.75     22771.56
1948      44      10635.37     11240.41     21875.78
1948      45      10390.25     10935.40     21325.65
1948      46      10534.30     10969.45     21503.75
1948      47      10705.21     11030.27     21735.48
1948      48      10141.23     10356.41     20497.64
1948      49       9580.19      9540.63     19120.82
1948      50       9534.82      9160.27     18695.09
1948      51       9654.71      8945.12     18599.83
1948      52       9490.58      8590.63     18081.21
1948      53       8965.70      8150.33     17116.03
1948      54       8714.79      8054.66     16769.45
1948      55       8715.07      8134.82     16849.89
1948      56       8610.03      8184.74     16794.77
1948      57       8504.99      8224.82     16729.81
1948      58       8400.00      8209.84     16609.84
1948      59       8344.85      8179.78     16524.63
1948      60       8294.99      8179.73     16474.72
1948      61       8269.81      8229.67     16499.48
1948      62       8140.27      8105.15     16245.42
1948      63       7690.60      7720.27     15410.87
1948      64       7374.85      7434.82     14809.67
1948      65       7324.85      7304.85     14629.70
1948      66       7354.66      7234.68     14589.34
1948      67       7305.07      7065.10     14370.17
1948      68       6800.79      6505.67     13306.46
1948      69       6165.40      5880.27     12045.67
1948      70       5690.36      5435.18     11125.54
1948      71       5270.30      5045.21     10315.51
1948      72       4735.67      4525.53      9261.20
1948      73       4050.68      3870.49      7921.17
1948      74       3604.99      3454.93      7059.92
1948      75       3805.10      3545.07      7350.17
1948      76       3110.22      2785.15      5895.37
1948      77       2630.05      2460.05      5090.10
1948      78       2395.18      2070.11      4465.29
1948      79       2070.08      1815.10      3885.18
1948      80       1988.39      1666.35      3654.74
1948      81       1756.28      1443.17      3199.45
1948      82       1523.31      1199.72      2723.03
1948      83       1224.29       942.70      2166.99
1948      84        993.35       774.45      1767.80
1948      85        808.32       629.06      1437.38
1948      86        632.83       484.56      1117.39
1948      87        548.86       381.18       930.04
1948      88        450.14       304.87       755.01
1948      89        307.77       209.35       517.12
1948      90        235.91       157.93       393.84
1948      91        188.23       135.83       324.06
1948      92        135.20       100.73       235.93
1948      93        101.89        67.26       169.15
1948      94         73.16        46.92       120.08
1948      95         44.44        30.15        74.59
1948      96         39.08        17.83        56.91
1948      97         28.31        15.06        43.37
1948      98         18.40        11.41        29.81
1948      99         13.69         7.72        21.41
1948     100         12.63         6.23        18.86
1948     101          9.21         4.38        13.59
1948     102          6.56         2.21         8.77
1948     103          5.23         0.87         6.10
1948     104          2.77         0.32         3.09
1948     105          2.98         0.55         3.53
1948     106          2.59         0.45         3.04
1948     107          0.47         0.55         1.02
1948     108          0.53         0.45         0.98
1948     109          0.47         0.00         0.47
1948     110+         1.00         1.00         2.00
1949       0      23399.51     24454.82     47854.33
1949       1      23190.58     24140.44     47331.02
