Slovakia,  Population size (1-year)     Last modified: 11-Feb-2011, MPv5 (May07)

Year     Age      Female         Male        Total
1950       0      40888.49     42915.69     83804.18
1950       1      38514.45     40209.49     78723.94
1950       2      36725.00     38130.50     74855.50
1950       3      34216.53     35093.37     69309.90
1950       4      32865.42     33009.64     65875.06
1950       5      32384.30     32493.62     64877.92
1950       6      31856.99     32366.58     64223.57
1950       7      31514.27     31896.84     63411.11
1950       8      31448.24     31803.01     63251.25
1950       9      31382.98     31835.95     63218.93
1950      10      30725.95     30955.75     61681.70
1950      11      29799.04     29825.16     59624.20
1950      12      29171.63     29200.11     58371.74
1950      13      29316.50     29371.35     58687.85
1950      14      29711.45     30034.47     59745.92
1950      15      29653.36     30061.86     59715.22
1950      16      30211.43     29815.52     60026.95
1950      17      31048.14     30194.97     61243.11
1950      18      31485.35     31037.59     62522.94
1950      19      31550.07     31076.30     62626.37
1950      20      30986.20     29972.99     60959.19
1950      21      30523.53     29340.65     59864.18
1950      22      30473.20     29389.21     59862.41
1950      23      30467.13     29446.53     59913.66
1950      24      30507.06     29500.94     60008.00
1950      25      31212.59     30140.14     61352.73
1950      26      32343.32     31274.48     63617.80
1950      27      32656.43     31590.89     64247.32
1950      28      31340.23     30252.43     61592.66
1950      29      28673.51     27639.10     56312.61
1950      30      23387.98     22373.51     45761.49
1950      31      16265.86     15414.15     31680.01
1950      32      13101.10     12509.13     25610.23
1950      33      14815.49     13915.38     28730.87
1950      34      19693.16     17936.85     37630.01
1950      35      24791.45     22584.36     47375.81
1950      36      26642.95     24424.01     51066.96
1950      37      26355.96     24411.53     50767.49
1950      38      25779.83     24351.19     50131.02
1950      39      26088.30     24873.26     50961.56
1950      40      26510.07     25288.35     51798.42
1950      41      25950.40     24677.39     50627.79
1950      42      24867.59     23584.99     48452.58
1950      43      23859.28     22517.26     46376.54
1950      44      23381.58     21803.51     45185.09
1950      45      23219.62     21532.81     44752.43
1950      46      22855.73     21200.40     44056.13
1950      47      22367.37     20935.43     43302.80
1950      48      22393.03     21192.21     43585.24
1950      49      22376.08     20984.03     43360.11
1950      50      20996.58     19142.04     40138.62
1950      51      19818.10     17313.55     37131.65
1950      52      19529.39     16553.20     36082.59
1950      53      19033.21     15993.52     35026.73
1950      54      17901.27     14966.25     32867.52
1950      55      16344.90     13654.30     29999.20
1950      56      15137.69     12578.86     27716.55
1950      57      14222.48     11613.45     25835.93
