Sweden,  Population size (1-year)     Last modified: 23-Aug-2012, MPv5 (May07)

Year     Age      Female         Male        Total
1751       0      28595.61     28608.93     57204.54
1751       1      26191.55     25873.44     52064.99
1751       2      26508.24     26127.31     52635.55
1751       3      22053.87     21638.37     43692.24
1751       4      18244.12     17681.68     35925.80
1751       5      18296.82     17824.89     36121.71
1751       6      18094.76     17920.14     36014.90
1751       7      18040.69     18125.90     36166.59
1751       8      18324.15     18583.20     36907.35
1751       9      18807.98     19139.68     37947.66
1751      10      18296.14     18322.33     36618.47
1751      11      17713.50     17566.63     35280.13
1751      12      17039.10     16805.54     33844.64
1751      13      16449.55     16213.91     32663.46
1751      14      15939.98     15716.37     31656.35
1751      15      16570.65     15879.36     32450.01
1751      16      17010.95     16050.40     33061.35
1751      17      17118.63     15864.86     32983.49
1751      18      17282.31     15289.38     32571.69
1751      19      17430.77     14751.75     32182.52
1751      20      16901.85     14317.51     31219.36
1751      21      16460.07     13905.93     30366.00
1751      22      16088.59     13757.83     29846.42
1751      23      15822.20     13927.85     29750.05
1751      24      15370.35     13839.19     29209.54
1751      25      15391.02     13943.58     29334.60
1751      26      15450.72     13952.54     29403.26
1751      27      15468.80     13797.98     29266.78
1751      28      15448.83     13718.29     29167.12
1751      29      15287.97     13599.83     28887.80
1751      30      14314.70     12784.88     27099.58
1751      31      13352.42     11933.60     25286.02
1751      32      12350.63     11137.09     23487.72
1751      33      11436.73     10467.99     21904.72
1751      34      10627.16      9866.04     20493.20
1751      35      10810.93     10002.34     20813.27
1751      36      11164.94     10237.46     21402.40
1751      37      11538.23     10443.06     21981.29
1751      38      11989.25     10604.41     22593.66
1751      39      12265.80     10604.31     22870.11
1751      40      11233.71      9676.58     20910.29
1751      41      10322.27      8924.75     19247.02
1751      42       9473.27      8306.42     17779.69
1751      43       8627.03      7737.15     16364.18
1751      44       7795.34      7095.81     14891.15
1751      45       8121.22      7271.04     15392.26
1751      46       8659.56      7615.27     16274.83
1751      47       9314.69      7982.92     17297.61
1751      48      10155.20      8486.40     18641.60
1751      49      10956.27      8857.04     19813.31
1751      50       9911.90      8061.75     17973.65
1751      51       8861.08      7176.68     16037.76
1751      52       7861.81      6281.76     14143.57
1751      53       6968.06      5470.44     12438.50
1751      54       6123.67      4769.04     10892.71
1751      55       6343.53      4832.72     11176.25
1751      56       6672.00      5002.55     11674.55
1751      57       7147.67      5239.44     12387.11
1751      58       7876.66      5542.70     13419.36
1751      59       8735.82      5825.66     14561.48
1751      60       8544.61      5621.90     14166.51
1751      61       8311.95      5463.60     13775.55
1751      62       7760.10      5163.31     12923.41
1751      63       7074.47      4857.49     11931.96
1751      64       6286.88      4531.52     10818.40
1751      65       6048.71      4312.67     10361.38
1751      66       5876.15      4117.64      9993.79
1751      67       5771.78      3941.05      9712.83
1751      68       5664.79      3744.55      9409.34
1751      69       5580.32      3516.75      9097.07
1751      70       4895.12      3130.77      8025.89
1751      71       4223.91      2760.48      6984.39
1751      72       3564.40      2374.04      5938.44
1751      73       2926.81      1992.61      4919.42
1751      74       2339.58      1629.25      3968.83
1751      75       2163.34      1447.67      3611.01
1751      76       2026.73      1306.98      3333.71
1751      77       1952.99      1207.63      3160.62
1751      78       1927.69      1141.88      3069.57
1751      79       1843.71      1095.70      2939.41
1751      80       1638.03       969.37      2607.40
1751      81       1431.32       842.16      2273.48
1751      82       1227.15       717.26      1944.41
1751      83       1029.21       600.12      1629.33
1751      84        852.88       494.64      1347.52
1751      85        700.88       401.27      1102.15
1751      86        569.74       328.92       898.66
1751      87        464.30       273.21       737.51
1751      88        381.26       224.14       605.40
1751      89        316.54       182.97       499.51
1751      90        255.82       145.85       401.67
1751      91        201.42       115.62       317.04
1751      92        156.58        90.41       246.99
1751      93        120.10        70.56       190.66
1751      94         91.21        54.67       145.88
1751      95         68.40        41.91       110.31
1751      96         50.32        31.32        81.64
1751      97         36.42        22.92        59.34
1751      98         26.38        16.89        43.27
1751      99         18.22        12.21        30.43
1751     100         12.67         8.48        21.15
1751     101          8.59         5.68        14.27
1751     102          5.27         3.88         9.15
1751     103          3.03         2.76         5.79
1751     104          1.68         1.27         2.95
1751     105          0.96         0.68         1.64
1751     106          0.64         0.25         0.89
1751     107          0.00         0.00         0.00
1751     108          0.00         0.00         0.00
1751     109          0.00         0.00         0.00
1751     110+         0.00         0.00         0.00
1752       0      27192.00     27939.00     55131.00
1752       1      25797.30     25404.87     51202.17
1752       2      25250.20     24877.63     50127.83
1752       3      25780.64     25360.10     51140.74
1752       4      21507.86     21062.90     42570.76
1752       5      17843.34     17253.27     35096.61
1752       6      18009.54     17512.94     35522.48
1752       7      17898.42     17699.70     35598.12
1752       8      17906.47     17968.93     35875.40
1752       9      18223.23     18461.67     36684.90
1752      10      18715.67     19029.43     37745.10
1752      11      18196.57     18208.13     36404.70
1752      12      17608.56     17449.81     35058.37
1752      13      16932.05     16688.77     33620.82
1752      14      16343.65     16099.85     32443.50
1752      15      15837.99     15608.18     31446.17
1752      16      16473.25     15775.18     32248.43
1752      17      16916.26     15949.06     32865.32
1752      18      17024.35     15763.74     32788.09
1752      19      17186.15     15185.84     32371.99
1752      20      17329.89     14641.16     31971.05
1752      21      16796.83     14203.69     31000.52
1752      22      16350.50     13787.61     30138.11
1752      23      15975.04     13636.25     29611.29
1752      24      15705.23     13804.29     29509.52
1752      25      15250.17     13714.14     28964.31
1752      26      15267.56     13818.35     29085.91
1752      27      15322.48     13825.83     29148.31
1752      28      15334.27     13668.85     29003.12
1752      29      15306.52     13585.83     28892.35
1752      30      15136.83     13464.13     28600.96
1752      31      14156.51     12645.69     26802.20
1752      32      13191.46     11794.35     24985.81
1752      33      12191.79     11000.89     23192.68
1752      34      11284.91     10337.94     21622.85
1752      35      10486.80      9745.74     20232.54
1752      36      10680.93      9888.83     20569.76
1752      37      11041.06     10128.22     21169.28
1752      38      11414.88     10333.69     21748.57
1752      39      11860.84     10490.52     22351.36
1752      40      12127.61     10482.79     22610.40
1752      41      11085.80      9545.44     20631.24
1752      42      10169.43      8787.04     18956.47
1752      43       9321.34      8165.22     17486.56
1752      44       8481.82      7595.52     16077.34
1752      45       7661.69      6956.74     14618.43
1752      46       7998.96      7133.73     15132.69
1752      47       8543.35      7477.58     16020.93
1752      48       9198.12      7841.77     17039.89
1752      49      10031.88      8338.69     18370.57
1752      50      10820.91      8700.29     19521.20
1752      51       9763.46      7896.92     17660.38
1752      52       8704.02      7008.07     15712.09
1752      53       7701.44      6114.38     13815.82
1752      54       6809.67      5309.34     12119.01
1752      55       5971.51      4618.09     10589.60
1752      56       6195.73      4690.29     10886.02
1752      57       6520.92      4861.00     11381.92
1752      58       6984.31      5090.00     12074.31
1752      59       7692.04      5376.62     13068.66
1752      60       8523.37      5635.86     14159.23
1752      61       8302.14      5407.61     13709.75
1752      62       8047.59      5232.32     13279.91
1752      63       7482.65      4923.77     12406.42
1752      64       6792.75      4618.44     11411.19
1752      65       6009.66      4301.10     10310.76
1752      66       5775.54      4092.04      9867.58
1752      67       5603.77      3903.75      9507.52
1752      68       5494.54      3729.16      9223.70
1752      69       5377.00      3529.94      8906.94
1752      70       5278.45      3296.04      8574.49
1752      71       4579.98      2904.09      7484.07
1752      72       3905.85      2534.19      6440.04
1752      73       3254.53      2155.13      5409.66
1752      74       2636.19      1788.05      4424.24
1752      75       2078.39      1445.47      3523.86
1752      76       1931.25      1284.61      3215.86
1752      77       1816.81      1160.60      2977.41
1752      78       1755.66      1072.31      2827.97
1752      79       1733.38      1012.01      2745.39
1752      80       1644.26       966.31      2610.57
1752      81       1432.40       839.56      2271.96
1752      82       1226.28       714.83      1941.11
1752      83       1031.06       596.20      1627.26
1752      84        850.40       489.12      1339.52
1752      85        698.09       396.53      1094.62
1752      86        573.59       318.11       891.70
1752      87        465.74       258.62       724.36
1752      88        378.97       213.75       592.72
1752      89        309.99       173.50       483.49
1752      90        246.18       136.82       383.00
1752      91        192.43       107.06       299.49
1752      92        148.39        83.15       231.54
1752      93        112.78        63.55       176.33
1752      94         84.39        48.60       132.99
1752      95         62.49        36.95        99.44
1752      96         45.62        27.78        73.40
1752      97         32.51        20.20        52.71
1752      98         22.70        14.28        36.98
1752      99         15.96        10.28        26.24
1752     100         10.44         7.22        17.66
1752     101          6.94         4.76        11.70
1752     102          4.45         2.96         7.41
1752     103          2.32         1.91         4.23
1752     104          0.96         1.36         2.32
1752     105          0.26         0.28         0.54
1752     106          0.00         0.00         0.00
1752     107          0.00         0.00         0.00
1752     108          0.00         0.00         0.00
1752     109          0.00         0.00         0.00
1752     110+         0.00         0.00         0.00
1753       0      26931.50     27637.00     54568.50
1753       1      26381.36     26025.21     52406.57
1753       2      26272.64     25923.79     52196.43
1753       3      25988.96     25683.05     51672.01
1753       4      21636.04     21136.45     42772.49
1753       5      18096.92     17603.94     35700.86
1753       6      18165.16     17745.55     35910.71
1753       7      18419.24     18107.80     36527.04
1753       8      18364.87     18369.80     36734.67
1753       9      18412.81     18694.41     37107.22
1753      10      18762.87     19232.83     37995.70
1753      11      17990.16     18204.64     36194.80
1753      12      17494.11     17420.91     34915.02
1753      13      16930.25     16697.86     33628.11
1753      14      16279.61     15972.26     32251.87
1753      15      15713.00     15412.81     31125.81
1753      16      16225.72     15508.85     31734.57
1753      17      16880.95     15677.04     32557.99
1753      18      17337.36     15848.30     33185.66
1753      19      17447.96     15657.00     33104.96
1753      20      17612.48     15068.22     32680.70
1753      21      16995.02     14506.82     31501.84
1753      22      16466.85     14062.70     30529.55
1753      23      16023.83     13642.91     29666.74
1753      24      15650.32     13490.35     29140.67
1753      25      15380.41     13658.68     29039.09
1753      26      15413.78     13855.92     29269.70
1753      27      15426.57     13963.40     29389.97
1753      28      15476.82     13971.19     29448.01
1753      29      15482.43     13810.31     29292.74
1753      30      15447.46     13724.49     29171.95
1753      31      14567.15     13071.14     27638.29
1753      32      13614.82     12269.30     25884.12
1753      33      12682.46     11436.97     24119.43
1753      34      11721.61     10663.09     22384.70
1753      35      10855.33     10019.43     20874.76
1753      36      10842.74     10011.10     20853.84
1753      37      11051.75     10161.31     21213.06
1753      38      11426.02     10408.54     21834.56
1753      39      11806.65     10617.61     22424.26
1753      40      12255.91     10774.34     23030.25
1753      41      11369.66      9965.58     21335.24
1753      42      10372.59      9059.07     19431.66
1753      43       9502.79      8327.60     17830.39
1753      44       8706.04      7730.41     16436.45
1753      45       7924.40      7185.95     15110.35
1753      46       8102.89      7195.85     15298.74
1753      47       8472.37      7380.07     15852.44
1753      48       9055.68      7734.78     16790.46
1753      49       9749.16      8105.85     17855.01
1753      50      10627.74      8612.63     19240.37
1753      51       9906.29      8028.45     17934.74
1753      52       8916.18      7265.90     16182.08
1753      53       7931.85      6432.45     14364.30
1753      54       7007.94      5604.08     12612.02
1753      55       6193.10      4867.16     11060.26
1753      56       6328.56      4811.59     11140.15
1753      57       6572.59      4899.55     11472.14
1753      58       6914.82      5080.67     11995.49
1753      59       7395.43      5312.03     12707.46
1753      60       8131.35      5594.93     13726.28
1753      61       7872.09      5285.31     13157.40
1753      62       7640.86      5047.88     12688.74
1753      63       7387.51      4871.47     12258.98
1753      64       6849.70      4575.91     11425.61
1753      65       6202.66      4292.23     10494.89
1753      66       5874.84      4099.39      9974.23
1753      67       5638.97      3899.04      9538.01
1753      68       5459.73      3711.90      9171.63
1753      69       5337.30      3530.94      8868.24
1753      70       5201.80      3319.80      8521.60
1753      71       4647.15      2975.66      7622.81
1753      72       3989.38      2592.06      6581.44
1753      73       3364.27      2238.00      5602.27
1753      74       2770.40      1883.48      4653.88
1753      75       2216.65      1548.21      3764.86
1753      76       2008.85      1338.86      3347.71
1753      77       1870.73      1189.23      3059.96
1753      78       1761.65      1073.29      2834.94
1753      79       1703.62       989.90      2693.52
1753      80       1688.84       995.72      2684.56
1753      81       1475.95       866.30      2342.25
1753      82       1266.01       742.38      2008.39
1753      83       1068.16       623.06      1691.22
1753      84        887.56       512.42      1399.98
1753      85        726.61       415.24      1141.85
1753      86        596.69       333.98       930.67
1753      87        491.28       265.32       756.60
1753      88        398.91       214.12       613.03
1753      89        324.05       176.05       500.10
1753      90        258.41       140.13       398.54
1753      91        202.59       109.81       312.40
1753      92        157.17        84.68       241.85
1753      93        120.33        64.80       185.13
1753      94         90.81        48.68       139.49
1753      95         67.47        36.68       104.15
1753      96         49.67        27.52        77.19
1753      97         36.09        20.41        56.50
1753      98         25.55        14.52        40.07
1753      99         17.71         9.95        27.66
1753     100         12.45         7.02        19.47
1753     101          8.01         4.81        12.82
1753     102          5.30         3.00         8.30
1753     103          3.36         1.69         5.05
1753     104          1.61         1.01         2.62
1753     105          0.71         0.72         1.43
1753     106          0.26         0.28         0.54
1753     107          0.00         0.00         0.00
1753     108          0.00         0.00         0.00
1753     109          0.00         0.00         0.00
1753     110+         0.00         0.00         0.00
1754       0      27029.00     27693.50     54722.50
1754       1      26269.78     25883.89     52153.67
1754       2      26381.72     26121.61     52503.33
1754       3      26502.16     26289.55     52791.71
1754       4      21990.34     21455.95     43446.29
1754       5      18385.81     17730.92     36116.73
1754       6      18378.51     18032.62     36411.13
1754       7      18574.76     18265.66     36840.42
1754       8      18922.36     18705.70     37628.06
1754       9      18910.06     19018.10     37928.16
1754      10      18967.75     19375.92     38343.67
1754      11      18015.10     18320.50     36335.60
1754      12      17258.42     17338.73     34597.15
1754      13      16773.20     16590.67     33363.87
1754      14      16227.03     15900.17     32127.20
1754      15      15601.09     15207.46     30808.55
1754      16      16098.46     15371.22     31469.68
1754      17      16629.33     15466.86     32096.19
1754      18      17305.40     15633.28     32938.68
1754      19      17774.73     15801.17     33575.90
1754      20      17885.18     15601.25     33486.43
1754      21      17278.68     15017.19     32295.87
1754      22      16666.41     14448.73     31115.14
1754      23      16143.09     13999.42     30142.51
1754      24      15704.64     13575.90     29280.54
1754      25      15335.23     13421.37     28756.60
1754      26      15560.58     13802.02     29362.60
1754      27      15591.77     14001.97     29593.74
1754      28      15600.00     14109.41     29709.41
1754      29      15644.42     14114.23     29758.65
1754      30      15641.79     13947.11     29588.90
1754      31      14928.91     13406.82     28335.73
1754      32      14066.68     12762.20     26828.88
1754      33      13138.61     11974.29     25112.90
1754      34      12234.50     11159.59     23394.09
1754      35      11306.69     10406.23     21712.92
1754      36      11163.47     10306.80     21470.27
1754      37      11155.74     10300.76     21456.50
1754      38      11373.61     10453.29     21826.90
1754      39      11758.48     10700.42     22458.90
1754      40      12145.92     10903.40     23049.32
1754      41      11578.05     10319.54     21897.59
1754      42      10726.60      9523.80     20250.40
1754      43       9774.15      8639.85     18414.00
1754      44       8948.27      7932.90     16881.17
1754      45       8196.34      7362.70     15559.04
1754      46       8324.31      7383.28     15707.59
1754      47       8519.59      7398.69     15918.28
1754      48       8912.98      7590.29     16503.27
1754      49       9528.79      7954.05     17482.84
1754      50      10257.59      8329.60     18587.19
1754      51       9845.93      8063.49     17909.42
1754      52       9161.66      7497.96     16659.62
1754      53       8229.76      6769.02     14998.78
1754      54       7308.06      5979.44     13287.50
1754      55       6446.91      5200.59     11647.50
1754      56       6512.43      5029.60     11542.03
1754      57       6655.76      4976.28     11632.04
1754      58       6907.34      5067.08     11974.42
1754      59       7256.06      5248.45     12504.51
1754      60       7747.24      5476.34     13223.58
