Taiwan,  Population size (1-year)     Last modified: 08-Feb-2012, MPv5 (May07)

Year     Age      Female         Male        Total
1970       0     186992.82    197108.74    384101.56
1970       1     187603.30    197470.49    385073.79
1970       2     179698.79    190321.59    370020.38
1970       3     195249.41    208852.65    404102.06
1970       4     196386.13    207614.06    404000.19
1970       5     203245.48    211394.42    414639.90
1970       6     205963.28    215649.94    421613.22
1970       7     203757.05    215706.57    419463.62
1970       8     203383.86    211034.39    414418.25
1970       9     199549.96    213624.99    413174.95
1970      10     196655.34    209176.75    405832.09
1970      11     195270.62    201341.76    396612.38
1970      12     185659.78    193333.49    378993.27
1970      13     189059.42    199650.18    388709.60
1970      14     186639.77    199341.18    385980.95
1970      15     176053.86    187214.45    363268.31
1970      16     170978.92    180110.96    351089.88
1970      17     167606.62    176825.63    344432.25
1970      18     170478.86    179854.32    350333.18
1970      19     145611.49    150830.41    296441.90
1970      20     134773.16    137712.50    272485.66
1970      21     115372.93    121474.81    236847.74
1970      22     101728.09    109204.61    210932.70
1970      23      84831.17     87753.93    172585.10
1970      24      77137.46     79999.27    157136.73
1970      25      91510.67     92123.83    183634.50
1970      26      92356.54     96124.38    188480.92
1970      27      92248.69     93328.47    185577.16
1970      28      92802.85     93982.36    186785.21
1970      29      95339.81     95594.46    190934.27
1970      30      92449.18     92485.36    184934.54
1970      31      87707.35     88276.80    175984.15
1970      32      85898.67     84406.82    170305.49
1970      33      85645.10     85084.81    170729.91
1970      34      86424.65     85432.30    171856.95
1970      35      81566.57     86937.98    168504.55
1970      36      76342.77     88535.20    164877.97
1970      37      77075.31     91354.12    168429.43
1970      38      75734.72     98308.51    174043.23
1970      39      74442.35    102832.27    177274.62
1970      40      70066.17    100584.68    170650.85
1970      41      70347.77     99364.63    169712.40
1970      42      65234.93     99371.95    164606.88
1970      43      63747.48     95367.99    159115.47
1970      44      60466.32     93780.76    154247.08
1970      45      56236.96     85131.77    141368.73
1970      46      54636.78     78029.02    132665.80
1970      47      55920.11     77096.36    133016.47
1970      48      55408.69     78148.33    133557.02
1970      49      46973.54     68680.86    115654.40
1970      50      42545.67     60446.73    102992.40
1970      51      41590.91     56907.50     98498.41
1970      52      43143.62     54843.41     97987.03
1970      53      38240.96     52556.57     90797.53
1970      54      36279.23     48775.70     85054.93
1970      55      37321.54     49674.70     86996.24
1970      56      36431.83     46891.93     83323.76
1970      57      35067.70     50158.49     85226.19
1970      58      35204.22     38624.89     73829.11
1970      59      31825.50     35975.57     67801.07
1970      60      30580.07     35057.75     65637.82
1970      61      26542.13     29094.96     55637.09
1970      62      26095.86     29808.86     55904.72
1970      63      24315.78     26266.04     50581.82
1970      64      23407.06     24887.41     48294.47
1970      65      20172.49     21180.89     41353.38
1970      66      18619.72     18406.00     37025.72
1970      67      19203.73     18145.49     37349.22
1970      68      16969.16     15567.43     32536.59
1970      69      16218.42     14412.91     30631.33
1970      70      14604.99     11701.61     26306.60
1970      71      15118.81     11951.04     27069.85
1970      72      11743.37      9791.72     21535.09
1970      73       8817.84      8223.13     17040.97
1970      74      10454.11      7489.79     17943.90
1970      75       8361.22      5869.56     14230.78
1970      76       7841.66      5241.31     13082.97
1970      77       7853.45      4515.60     12369.05
1970      78       6420.77      3572.02      9992.79
1970      79       5108.80      3465.90      8574.70
1970      80       4782.88      2824.49      7607.37
1970      81       4242.48      2453.47      6695.95
1970      82       3709.44      2050.11      5759.55
1970      83       3117.96      1621.04      4739.00
1970      84       2629.27      1319.63      3948.90
1970      85       2217.37      1074.37      3291.74
1970      86       1825.21       858.21      2683.42
1970      87       1481.35       660.38      2141.73
1970      88       1208.41       500.57      1708.98
1970      89        960.75       379.16      1339.91
1970      90        754.07       285.09      1039.16
1970      91        589.69       211.26       800.95
1970      92        455.93       154.68       610.61
1970      93        347.86       111.22       459.08
1970      94        261.82        79.21       341.03
1970      95        194.28        54.97       249.25
1970      96        142.15        36.92       179.07
1970      97        102.58        24.36       126.94
1970      98         72.10        16.37        88.47
1970      99         49.88        10.95        60.83
1970     100         34.20         7.20        41.40
1970     101         23.27         4.27        27.54
1970     102         15.30         2.51        17.81
1970     103          9.86         0.69        10.55
1970     104          6.36         0.00         6.36
1970     105          3.62         0.00         3.62
1970     106          2.01         0.00         2.01
1970     107          0.62         0.00         0.62
1970     108          0.00         0.00         0.00
1970     109          0.00         0.00         0.00
1970     110+         0.00         0.00         0.00
1971       0     172400.41    184126.99    356527.40
1971       1     186259.46    196192.21    382451.67
1971       2     187003.78    196781.18    383784.96
1971       3     179367.62    189924.33    369291.95
1971       4     195060.21    208571.51    403631.72
1971       5     196278.86    207413.09    403691.95
1971       6     203111.43    211246.43    414357.86
1971       7     205835.08    215529.84    421364.92
1971       8     203719.56    215591.67    419311.23
1971       9     203313.38    210962.32    414275.70
1971      10     199508.23    213502.87    413011.10
1971      11     196617.57    209070.58    405688.15
1971      12     195165.50    201223.10    396388.60
1971      13     185546.21    193184.26    378730.47
1971      14     188945.93    199509.99    388455.92
1971      15     186521.68    199089.47    385611.15
1971      16     175923.35    186934.46    362857.81
1971      17     170802.11    179817.59    350619.70
1971      18     167434.75    176519.20    343953.95
1971      19     170304.36    179506.33    349810.69
1971      20     145445.43    150534.02    295979.45
1971      21     134649.54    137472.88    272122.42
1971      22     115285.98    121223.55    236509.53
1971      23     101648.44    108928.23    210576.67
1971      24      84761.93     87540.08    172302.01
1971      25      77051.92     79797.83    156849.75
1971      26      91429.15     91948.41    183377.56
1971      27      92290.21     95923.47    188213.68
1971      28      92185.64     93151.21    185336.85
1971      29      92722.54     93812.25    186534.79
1971      30      95234.29     95423.42    190657.71
1971      31      92328.76     92270.40    184599.16
1971      32      87588.90     88068.28    175657.18
1971      33      85784.68     84223.88    170008.56
1971      34      85511.99     84850.26    170362.25
1971      35      86262.98     85199.88    171462.86
1971      36      81418.01     86676.03    168094.04
1971      37      76202.47     88252.79    164455.26
1971      38      76915.16     91067.99    167983.15
1971      39      75578.61     97972.43    173551.04
1971      40      74266.14    102486.04    176752.18
1971      41      69900.68    100211.37    170112.05
1971      42      70148.03     98966.59    169114.62
1971      43      65039.06     98932.35    163971.41
1971      44      63544.75     94918.71    158463.46
1971      45      60241.88     93309.14    153551.02
1971      46      56020.17     84596.99    140617.16
1971      47      54375.58     77497.84    131873.42
1971      48      55673.18     76525.96    132199.14
1971      49      55124.67     77545.96    132670.63
1971      50      46718.01     68075.21    114793.22
1971      51      42263.44     59855.31    102118.75
1971      52      41305.52     56281.91     97587.43
1971      53      42821.77     54196.78     97018.55
1971      54      37935.36     51897.13     89832.49
1971      55      35973.32     48102.34     84075.66
1971      56      36993.20     48967.54     85960.74
1971      57      36102.48     46181.13     82283.61
1971      58      34722.41     49402.90     84125.31
1971      59      34801.80     37840.49     72642.29
1971      60      31401.08     35149.32     66550.40
1971      61      30112.25     34175.43     64287.68
1971      62      26071.05     28234.37     54305.42
1971      63      25586.21     28902.07     54488.28
1971      64      23797.01     25366.91     49163.92
1971      65      22881.73     23999.99     46881.72
1971      66      19639.76     20307.72     39947.48
1971      67      18076.42     17544.55     35620.97
1971      68      18635.87     17292.15     35928.02
1971      69      16400.52     14736.04     31136.56
1971      70      15627.05     13597.09     29224.14
1971      71      13993.34     10916.41     24909.75
1971      72      14496.69     11189.87     25686.56
1971      73      11128.62      9062.06     20190.68
1971      74       8213.90      7538.44     15752.34
1971      75       9839.92      6852.40     16692.32
1971      76       7766.31      5285.57     13051.88
1971      77       7229.38      4684.36     11913.74
1971      78       7262.99      4007.63     11270.62
1971      79       5869.01      3112.90      8981.91
1971      80       4807.82      2930.73      7738.55
1971      81       4288.08      2451.86      6739.94
1971      82       3777.38      2124.02      5901.40
1971      83       3276.41      1761.92      5038.33
1971      84       2718.84      1371.74      4090.58
1971      85       2265.32      1106.44      3371.76
1971      86       1889.21       894.25      2783.46
1971      87       1532.79       707.91      2240.70
1971      88       1224.00       536.58      1760.58
1971      89        984.87       399.96      1384.83
1971      90        769.20       298.50      1067.70
1971      91        592.26       221.36       813.62
1971      92        455.02       161.63       616.65
1971      93        345.57       116.61       462.18
1971      94        258.87        82.47       341.34
1971      95        191.24        57.83       249.07
1971      96        139.25        39.33       178.58
1971      97        100.01        25.67       125.68
1971      98         70.88        16.39        87.27
1971      99         48.70        10.83        59.53
1971     100         32.94         7.16        40.10
1971     101         22.16         4.66        26.82
1971     102         14.89         2.59        17.48
1971     103          9.58         1.42        11.00
1971     104          6.04         0.00         6.04
1971     105          3.85         0.00         3.85
1971     106          2.02         0.00         2.02
1971     107          1.00         0.00         1.00
1971     108          0.00         0.00         0.00
1971     109          0.00         0.00         0.00
1971     110+         0.00         0.00         0.00
1972       0     183414.41    193840.10    377254.51
1972       1     176728.13    187218.29    363946.42
1972       2     188759.43    198634.80    387394.23
1972       3     188805.57    199583.41    388388.98
1972       4     181870.47    192943.02    374813.49
1972       5     197624.83    210366.53    407991.36
1972       6     198264.33    208319.42    406583.75
1972       7     203245.32    212172.63    415417.95
1972       8     205224.49    216180.30    421404.79
1972       9     204709.98    215673.61    420383.59
1972      10     203198.88    211660.18    414859.06
1972      11     200038.35    212786.01    412824.36
1972      12     197413.79    208819.87    406233.66
1972      13     194495.38    200873.38    395368.76
1972      14     184836.40    192403.94    377240.34
1972      15     188532.33    199567.85    388100.18
1972      16     186227.07    197041.69    383268.76
1972      17     175517.64    184836.59    360354.23
1972      18     169410.23    177860.27    347270.50
1972      19     166189.72    174493.56    340683.28
1972      20     169074.91    176745.94    345820.85
1972      21     144135.27    148722.06    292857.33
1972      22     134200.15    136735.64    270935.79
1972      23     115623.96    120063.74    235687.70
1972      24     102060.62    106987.66    209048.28
1972      25      85363.04     86984.59    172347.63
1972      26      77235.43     79465.36    156700.79
1972      27      91728.60     92171.52    183900.12
1972      28      93039.90     95548.89    188588.79
1972      29      93133.70     93383.31    186517.01
1972      30      93424.66     94347.46    187772.12
1972      31      95584.16     96132.83    191716.99
1972      32      92544.78     92157.65    184702.43
1972      33      87976.84     88288.91    176265.75
1972      34      86470.67     85385.54    171856.21
1972      35      85701.92     84873.42    170575.34
1972      36      85822.10     85552.76    171374.86
1972      37      81283.06     86609.87    167892.93
1972      38      76285.58     88047.52    164333.10
1972      39      76558.90     91133.80    167692.70
1972      40      75498.81     97495.63    172994.44
1972      41      73799.05    102205.86    176004.91
1972      42      69846.38     99964.87    169811.25
1972      43      69449.68     98737.77    168187.45
1972      44      64585.15     98270.33    162855.48
1972      45      63215.85     94806.05    158021.90
1972      46      59417.19     92847.50    152264.69
1972      47      55721.56     83511.00    139232.56
1972      48      53034.96     76527.62    129562.58
1972      49      55075.22     75369.49    130444.71
1972      50      53919.44     76090.33    130009.77
1972      51      46285.20     66471.68    112756.88
1972      52      41441.90     58880.26    100322.16
1972      53      40696.94     54911.81     95608.75
1972      54      41670.51     53025.35     94695.86
1972      55      37032.69     50039.15     87071.84
1972      56      35470.56     46974.27     82444.83
1972      57      36223.26     47615.76     83839.02
1972      58      35582.45     45113.97     80696.42
1972      59      34394.19     48079.65     82473.84
1972      60      33807.42     36677.97     70485.39
1972      61      30629.00     33818.24     64447.24
1972      62      29181.14     32348.86     61530.00
1972      63      25548.36     27173.85     52722.21
1972      64      24891.26     27481.54     52372.80
1972      65      23124.52     24031.70     47156.22
1972      66      22287.43     22847.81     45135.24
1972      67      19102.98     19291.97     38394.95
1972      68      17509.52     16509.16     34018.68
1972      69      17758.63     16119.91     33878.54
1972      70      15854.79     13736.13     29590.92
1972      71      14888.32     12536.22     27424.54
1972      72      13165.87     10145.87     23311.74
1972      73      13664.47     10365.17     24029.64
1972      74      10589.14      8208.37     18797.51
1972      75       7915.46      6826.93     14742.39
1972      76       9084.10      6156.02     15240.12
1972      77       7226.68      4775.56     12002.24
1972      78       5847.23      3713.22      9560.45
1972      79       5870.52      3161.72      9032.24
1972      80       5077.30      3100.46      8177.76
1972      81       4301.63      2538.23      6839.86
1972      82       3812.00      2105.16      5917.16
1972      83       3333.83      1821.21      5155.04
1972      84       2867.27      1500.54      4367.81
1972      85       2345.39      1148.85      3494.24
1972      86       1928.21       918.79      2847.00
1972      87       1588.44       738.33      2326.77
1972      88       1267.71       580.14      1847.85
1972      89        993.37       433.34      1426.71
1972      90        786.89       317.75      1104.64
1972      91        601.63       234.03       835.66
1972      92        452.50       171.58       624.08
1972      93        340.21       123.80       464.01
1972      94        252.74        88.33       341.07
1972      95        185.04        61.68       246.72
1972      96        133.50        42.81       176.31
1972      97         94.88        28.66       123.54
1972      98         66.52        18.22        84.74
1972      99         46.07        11.29        57.36
1972     100         30.67         7.39        38.06
1972     101         20.07         4.90        24.97
1972     102         13.17         3.19        16.36
1972     103          8.73         1.65        10.38
1972     104          5.44         0.83         6.27
1972     105          3.31         0.00         3.31
1972     106          2.09         0.00         2.09
1972     107          0.90         0.00         0.90
1972     108          0.31         0.00         0.31
1972     109          0.00         0.00         0.00
1972     110+         0.00         0.00         0.00
1973       0     176225.99    186238.71    362464.70
1973       1     184816.15    194054.00    378870.15
1973       2     181524.86    190779.01    372303.87
1973       3     191676.28    201481.40    393157.68
1973       4     190754.92    202578.09    393333.01
1973       5     184443.18    196042.57    380485.75
1973       6     200242.75    212201.85    412444.60
1973       7     200290.10    209253.25    409543.35
1973       8     203408.22    213120.53    416528.75
1973       9     204631.13    216847.69    421478.82
1973      10     205706.99    215769.57    421476.56
1973      11     203079.18    212362.88    415442.06
1973      12     200557.29    212066.04    412623.33
1973      13     198194.16    208556.01    406750.17
1973      14     193807.30    200500.49    394307.79
1973      15     184109.45    191593.65    375703.10
1973      16     188105.15    199588.17    387693.32
1973      17     185923.94    194958.75    380882.69
1973      18     175105.79    182705.49    357811.28
1973      19     168011.17    175870.96    343882.13
1973      20     164932.32    172431.77    337364.09
1973      21     167827.62    173960.56    341788.18
1973      22     142802.15    146886.48    289688.63
1973      23     133726.24    135981.92    269708.16
1973      24     115939.88    118897.57    234837.45
1973      25     102457.01    105051.74    207508.75
1973      26      85955.38     86443.33    172398.71
1973      27      77413.86     79146.77    156560.63
1973      28      92023.42     92404.33    184427.75
1973      29      93782.06     95175.67    188957.73
1973      30      94068.64     93606.52    187675.16
1973      31      94108.72     94862.68    188971.40
1973      32      95913.39     96818.92    192732.31
1973      33      92740.61     92021.18    184761.79
1973      34      88347.98     88488.89    176836.87
1973      35      87145.34     86533.77    173679.11
1973      36      85885.38     84881.09    170766.47
1973      37      85378.83     85889.81    171268.64
1973      38      81147.48     86522.61    167670.09
1973      39      76367.74     87813.41    164181.15
1973      40      76199.55     91164.10    167363.65
1973      41      75413.09     96972.96    172386.05
1973      42      73323.81    101880.01    175203.82
1973      43      69782.61     99670.97    169453.58
1973      44      68741.35     98459.62    167200.97
1973      45      64121.78     97558.14    161679.92
1973      46      62878.41     94635.34    157513.75
1973      47      58585.82     92327.29    150913.11
1973      48      55417.88     82363.22    137781.10
1973      49      51691.36     75499.23    127190.59
1973      50      54476.50     74156.67    128633.17
1973      51      52714.15     74582.05    127296.20
1973      52      45853.03     64818.55    110671.58
1973      53      40620.57     57855.30     98475.87
1973      54      40087.41     53489.08     93576.49
1973      55      40516.46     51796.25     92312.71
1973      56      36124.22     48126.37     84250.59
1973      57      34959.22     45793.32     80752.54
1973      58      35442.89     46219.66     81662.55
1973      59      35051.58     44015.51     79067.09
1973      60      34057.56     46741.55     80799.11
1973      61      32802.55     35513.31     68315.86
1973      62      29847.62     32496.93     62344.55
1973      63      28235.12     30536.34     58771.46
1973      64      25000.09     26124.82     51124.91
1973      65      24156.45     26066.36     50222.81
1973      66      22391.48     22687.10     45078.58
1973      67      21623.17     21678.90     43302.07
1973      68      18494.60     18253.44     36748.04
1973      69      16879.63     15448.38     32328.01
1973      70      16838.61     14925.03     31763.64
1973      71      15288.50     12716.07     28004.57
1973      72      14154.77     11466.52     25621.29
1973      73      12359.51      9378.41     21737.92
1973      74      12859.68      9557.30     22416.98
1973      75      10075.53      7387.54     17463.07
1973      76       7627.05      6155.05     13782.10
1973      77       8323.40      5505.21     13828.61
1973      78       6665.69      4312.12     10977.81
1973      79       4428.48      2787.24      7215.72
1973      80       5445.69      3305.57      8751.26
1973      81       4548.79      2709.32      7258.11
1973      82       3797.96      2184.52      5982.48
1973      83       3338.23      1787.57      5125.80
1973      84       2895.02      1538.41      4433.43
1973      85       2467.45      1258.75      3726.20
1973      86       1996.25       956.86      2953.11
1973      87       1615.34       757.79      2373.13
1973      88       1311.34       604.99      1916.33
1973      89       1025.30       471.10      1496.40
1973      90        784.03       345.36      1129.39
1973      91        608.52       247.71       856.23
1973      92        451.77       179.06       630.83
1973      93        328.42       129.04       457.46
1973      94        239.03        91.37       330.40
1973      95        171.52        63.99       235.51
1973      96        120.89        43.68       164.57
1973      97         83.69        29.71       113.40
1973      98         56.87        19.29        76.16
1973      99         38.02        11.62        49.64
1973     100         25.08         6.72        31.80
1973     101         15.50         4.28        19.78
1973     102          9.32         2.81        12.13
1973     103          5.69         1.81         7.50
1973     104          3.62         0.76         4.38
1973     105          2.03         0.27         2.30
1973     106          1.07         0.00         1.07
1973     107          0.65         0.00         0.65
1973     108          0.00         0.00         0.00
1973     109          0.00         0.00         0.00
1973     110+         0.00         0.00         0.00
1974       0     175470.49    187636.91    363107.40
1974       1     176977.96    186703.94    363681.90
1974       2     186450.54    194550.43    381000.97
1974       3     186482.84    194567.81    381050.65
1974       4     194684.96    204486.69    399171.65
1974       5     192752.69    205624.83    398377.52
1974       6     187035.10    199151.24    386186.34
1974       7     202882.46    214054.42    416936.88
1974       8     202338.38    210210.70    412549.08
1974       9     203589.66    214090.46    417680.12
1974      10     204048.54    217528.25    421576.79
1974      11     206703.86    215860.60    422564.46
1974      12     202953.89    213046.90    416000.79
1974      13     201065.96    211316.48    412382.44
1974      14     198960.89    208256.35    407217.24
1974      15     193103.97    200092.73    393196.70
1974      16     183368.13    190751.31    374119.44
1974      17     187665.12    199584.74    387249.86
1974      18     185610.23    192858.06    378468.29
1974      19     174685.37    180559.48    355244.85
1974      20     166604.38    173861.53    340465.91
1974      21     163671.70    170361.47    334033.17
1974      22     166579.26    171164.63    337743.89
1974      23     141471.44    145046.66    286518.10
1974      24     133258.28    135231.56    268489.84
1974      25     116264.84    117742.03    234006.87
1974      26     102863.18    103130.69    205993.87
1974      27      86555.40     85911.38    172466.78
1974      28      77598.43     78831.05    156429.48
1974      29      92323.88     92632.85    184956.73
1974      30      94530.60     94792.37    189322.97
1974      31      95012.68     93815.66    188828.34
1974      32      94804.22     95366.85    190171.07
1974      33      96253.55     97495.76    193749.31
1974      34      92942.96     91876.13    184819.09
1974      35      88718.25     88681.51    177399.76
1974      36      87808.54     87662.92    175471.46
1974      37      86050.14     84862.18    170912.32
1974      38      84912.15     86190.02    171102.17
1974      39      80988.40     86390.63    167379.03
1974      40      76430.03     87531.00    163961.03
1974      41      75826.04     91143.45    166969.49
1974      42      75317.85     96405.85    171723.70
1974      43      72842.02    101517.04    174359.06
1974      44      69712.83     99346.49    169059.32
1974      45      68025.46     98158.57    166184.03
1974      46      63648.11     96823.39    160471.50
1974      47      62527.35     94442.90    156970.25
1974      48      57738.34     91782.64    149520.98
1974      49      55094.63     81183.91    136278.54
1974      50      50326.34     74431.53    124757.87
1974      51      53851.94     72893.36    126745.30
1974      52      51480.56     73013.68    124494.24
1974      53      45392.04     63102.63    108494.67
1974      54      39770.30     56767.80     96538.10
1974      55      39449.93     52008.04     91457.97
1974      56      39335.09     50517.53     89852.62
1974      57      35191.62     46175.63     81367.25
1974      58      34424.84     44578.46     79003.30
1974      59      34641.71     44790.46     79432.17
1974      60      34504.50     42881.85     77386.35
1974      61      33703.59     45357.22     79060.81
1974      62      31783.88     34293.84     66077.72
1974      63      29053.64     31112.74     60166.38
1974      64      27276.82     28655.03     55931.85
1974      65      24442.06     25007.43     49449.49
1974      66      23408.48     24579.80     47988.28
1974      67      21648.92     21281.35     42930.27
